中文,英文
旋切刀门,position of the nose bar in relation to the knife edge
防虫胶合板,insect protective plywood
湿花,hazy
龟裂,fissure
木段,peeling block
单板层积材,laminated-veneer lumber
污斑,spot
中密度纤维板,medium-density fiberboard
涂胶量,glue spread amount
防腐刨花板,preservation particleboard
静电植绒,flocks coating
板件,board
挥发分含量,volatile content
展平,flatting
地热地板,wooden flooring for ground with heating system
劈分藤,split rattan
竹束,bamboo bundle
竹木复合重组材,wood-bamboo composite scrimber
直角榫,tenon
[弯]曲木家具,bent-wood furniture
竹刨花,bamboo particle
藤芯,rattan core
竹木复合胶合板,wood-bamboo composite plybamboo
去节,smoothing outer grain
螺钉接合,screw joint
竹板,bamboo particleboard
竹帘,bamboo curtain
异形木射线,heterogeneous ray
幼龄材,juvenile wood
阔叶树材,broad-leaved wood
木纤维,wood fiber
自由水,free water
土壤木块法,soil-block test
轻有机溶剂防腐剂,light organic solvent preservative
冷浸处理,cold-soak treatment
流失试验,leaching test
净保持量,net retention
木材干缩性,wood shrinkage
木材抗劈力,cleavage resistance of wood
半空细胞法,half empty-cell process
真空法,vacuum process
木材染色,wood dyeing
木材尺寸稳定性,dimensional stability of wood
木材横纹抗压强度,compression strength perpendicular to grain of wood
木材抗弯弹性模量,modulus of elasticity in bending wood
木材各向异性,anisotropic of wood
木材加工缺陷,processing defect of wood
毒性试验,toxicity test
两段处理法,two-stage treatment
木材横纹抗剪强度,shearing strength perpendicular to grain of wood
透入性,penetrability
木材着色,wood coloring
双扩散法,double diffusion process
难注性,refractory
木材比热,specific heat of wood
木材热容量,thermal capacity of wood
木材密度,density of wood
木材抗弯强度,bending strength of wood
应力松弛,stress relaxation
木材热容系数,thermal capacity coefficient of wood
蓝变,blue stain
强化木地板,laminated flooring with paper impregnated thermosetting resin
竹单板饰面人造板,decorative bamboo veneered panel
木结构建筑,wood structure building
木门,wooden door
竹片,bamboo strip
木制品,wooden product
原竹,bamboo culm
折叠家具,folding furniture
油浴,rining
竹帘胶合板,curtain plybamboo
木楼梯,wooden stair
木窗,wooden window
实木地板,solid wood flooring
圆榫,dowel
熏蒸藤,fumigated rattan
开放涂饰,open painting
实木复合地板,wood composite flooring
藤材,rattan cane
腻子,filler
整装家具,assembled furniture
毛[坯]料,blank lumber
紫外固化,ultraviolet curing
除木毛,raised grain removing
纵截,rip sawing
木工成型压床,banding press
水性涂料,water coating
华夫刨花机,waferizer
回转式拼板机,lumber laminater
剪切机,clipper
水平多轴木工钻孔机,horizontal multispindle wood borer
自动圆棒机,round bar making ma-chine
湿砂磨,sloppy sanding
刷涂,brushing
削片机,chipper
后成型封边,post-forming
截头锯,trimmer
芯板拼接机,core composer
锤式碎木机,hammer mill
切碎机,cutter mill
热磨机,defibrator
木材含水率,moisture content of wood
木材冲击韧性,toughness of wood
木材功能性改良,wood modification
涂刷处理,brush treatment
木材透声系数,coefficient of acoustic permeability of wood
毒性极限,toxicity limit
木材声学性质,acoustical property of wood
木材弹性,elasticity of wood
木材黏弹性,viscoelasticity of wood
频压法,alternating pressure process
基面,normal plane
皱缩,collapse
逆铣,up-milling
毛边材,unedged lumber
斜角切削,inclined cutting
褐腐,brown rot
平衡处理,equalization treatment
变色材,stained wood
内裂,internal check
切削力,cutting force
炭化,char
切削平面,cutting plane
含水率梯度,moisture gradient
后刀面,back face
木材阻燃处理,fire-retarding treatment of wood
横向切削,transverse-longitudinal cutting
干燥介质,drying medium
翘曲,warp
劈裂,split
顺铣,down-milling
刨花,particle
强制循环干燥室,forced circulation kiln
表面结合强度,surface bonding strength
炉气干燥,furnace gas drying
航空胶合板,aviation plywood
混凝土模板用胶合板,plywood for concrete-form
侧风机型干燥室,side-fan kiln
自然循环干燥室,natural circulation kiln
内结合强度,internal bonding strength
纤维板增强处理,reinforced treatment of fiberboard
金属壳体干燥室,all-metal kiln
抽心下锯法,box heart sawing
截断,trimming
热压曲线,hot pressing curve
浮雕纤维板,embossed fiberboard
预压,prepressing
表面孔隙,porosity of surface
铺装成型,spreading forming
滞燃性,reaction to fire
单板涂胶,veneer glue spreading
叠芯,overlap
干花,milky spot
人造板,wood-based panel
木片,wood chip
薄木贴面,veneer overlaying
阻燃胶合板,fire-retardant plywood
单板表面钝化,veneer surface inactivation
表面耐干热性,resistance to dry heat
同形木射线,homogeneous ray
侵填体,tylosis
木材花纹,wood figure
木材pH值,pH value of wood
木材灰分,wood ash
螺纹加厚,spiral thickening
木材缓冲容量,buffer capacity of wood
胞间道,intercellular canal
管孔式,pore pattern
木材流变性,rheological property of wood
木材导电性,electric conductance of wood
分馏试验,fractional distillation test
木材湿胀性,wood swelling
木材平衡含水率,equilibrium moisture content of wood
木材握钉力,holding power of nail and screw of wood
应力木,reaction wood
加压处理,pressure treatment
木材纤维饱和点,fiber saturation point of wood
双真空法,double vacuum process
热处理木材,heat-treated wood
涂饰,painting
切削速度,cutting velocity
净吸药量,net absorption
旋切后角,clearance angle
旋切切削角,cutting angle
尖削度,taper
铣削,peripheral milling
金刚石刀具,polycrystalline diamond cutter
毛方,cant
陈化时间,assembly time
纵剖圆锯机,circular saw with sliding table
气干材,air-dried timber
化学干燥,chemical drying
半圆旋切,half-rotary-cut
眉条,crassula
气流分选,air screening
华夫刨花板,waferboard
矿渣刨花板,slag bonded particleboard
钝棱,wane
木[质]地板,wooden flooring
削边机,chipping edger
单板背面裂隙,veneer check
表面耐香烟灼烧性,resistance to cigarette burn
增湿机,humidifier
磨刀机,wood tool grinder
压花,embossing
竹纤维板,bamboo fiberboard
V形槽折叠,V-shaped incision and joint
竹篾层积材,laminated bamboo siliver lumber
干燥藤,seasoned rattan
实木家具,solid wood furniture
低压三聚氰胺树脂浸渍纸贴面人造板,low pressure melamine resin sheet overlaid
大木工,carpentry
竹材浸胶,dipping bamboo into adhesive solution
竹重组材,bamboo scrimber
[浸渍胶膜纸]覆面竹材人造板,overlaid bamboo-based panel with resin-impregnated paper
三聚氰胺树脂装饰板贴面人造板,decorative melamine laminate overlaid wood-based panel
半开放涂饰,semi-open painting
箱框,box frame
木踢脚线,wooden base board
板式家具,panel-type furniture
实木弯曲,solid wood bending
燕尾榫,dovetail tenon
竹纤维,bamboo fiber
仿型铣削,profiling
主锯,head saw
喷胶机,glue sprayer
静电喷涂,static electricity spraying
填补,filling
穿条拼,spline joint
剥皮机,debarker
开榫,tenon making
单板旋切机,veneer peeling
钻孔,hole drilling
刨切机,slicer
开槽锯,grooving saw
自动二面刨机,double side planer
镂铣,routing
台式木工车床,bench wood lathe
裁边锯,edger
打眼,mortise making
配料,rough cutting
钢丝锯,fret saw
木工雕刻机,carving machine
人造板机械,wood-based panel manufacturing machinery
带锯机,band saw
悬臂圆锯机,radial saw
三面刨机,three side planning and molding machine
补节机,patcher
曲面砂光机,profile sander
平板干燥机,plate-press dryer
精磨机,refiner
喷涂机,spraying coater
冲洞机,puncher
框锯机,frame saw
单板剪切机,veneer clipper
辊涂机,roller coater
缝拼机,stitching machine
单板拼接机,veneer splicer
扩散法,diffusion process
木材耐磨性,abrasion resistance of wood
MSU法,Mississippi State University method
木材顺纹抗拉强度,tensile strength parallel to grain of wood
木材渗透性,permeability of wood
基本密度,basic density
琼脂木块法,agar-block test
端压法,Boucherie process
木材耐光性,light fastness of wood
木材冲击抗剪强度,impact shear strength of wood
木材防腐,wood preservation
干燥势,drying power
波动干燥基准,fluctuant drying schedule
方材,square
弦切板,plain-sawn lumber
前刀面,rake face
木材老化,weathering of wood
干燥梯度,drying gradient
软干燥基准,mild drying schedule
直角切削,orthogonal cutting
钻削,drilling
霉变,mold stain
干燥速度,drying rate
切削宽度,cutting width
出材率,lumber recovery
锯剖图,sawing pattern
吸水厚度膨胀率,thickness swelling
分层,delamination
尺寸稳定性,dimensional stability
纤维板热处理,heating treatment of fiberboard
刨花板,particleboard
应力分等,stress grading
秸秆刨花板,straw board
加压干燥,pressure drying
调梢,taper-set
自然干燥,natural drying
除湿干燥,dehumidification drying
短轴型干燥室,cross-shaft kiln
木材干燥,wood drying
单板斜面接长,veneer scarf jointing
静曲弹性模量,modulus of elasticity
原木整形,log rough rounding
裁边,dimensioning
质量系数,quality coefficient
辊压刨花板,cylinder pressed particleboard
过热蒸汽干燥,superheated steam drying
刨花拌胶,particle blending
装饰纸贴面人造板,pattern paper overlaid wood-based panel
压尺,nose bar
薄木拼花,thin veneer jointed figure
旋切,peeling
颜色匹配,color matching
离缝,open jointing
单板陈化,veneer assembly
压尺垂直高度,vertical gap
蒸汽喷射法,steam injection method
刀撬试验,knife testing
单板封边,veneer sealing edge
缓冲材料,cushion
多层结构刨花板,multiply-layer particleboard
瓦楞纤维板,corrugated fiberboard
表面耐污染性,resistance to staining
木塑复合材料,wood plastic composite
单板压榨率,veneer pressure degree
单板,veneer
表面耐冷热循环性,surface resistance to high-low temperature cycle
旋切刀门缝隙宽度,distance between the edge of the nose bar and the peeling knife
防水剂,water repellent
阻燃刨花板,fire-retardant particleboard
旋刀安装高度,knife height
压尺间距,horizontal gap
晚材,late wood
弦切面,tangential section
轴向薄壁组织,longitudinal parenchyma
木材纹理,wood grain
针叶树材,coniferous wood
径列条,trabecula
树脂道,resin duct
径切面,radial section
瘤层,warty layer
满细胞法,full cell process
油溶性防腐剂,oil-borne preservative
木材缺陷,wood defect
喷涂处理,spray treatment
水溶性防腐剂,water-borne preservative
焦油类防腐剂,tar-oil type preservative
木材介电常数,dielectric constant of wood
腐朽材,decayed wood
干燥曲线,drying curve
硬干燥基准,harsh drying schedule
干燥应力,drying stress
锯材,sawn timber
板材,board
木材虫害,insect damage of wood
制材剩余物,offcut
刀具磨损,cutter wear
制材工艺,sawing technology
楔角,sharpness angle
检验板,sample board
木材防腐剂,wood preservative
组合刀具,combination cutter
木材生物降解,wood biodegradation
细菌降解,bacterial degradation
焊接刀具,tipped cutter
室内干燥,kiln drying
微波干燥,microwave drying
落球冲击性能试验,impact resistance of falling weight test
弦向下锯法,plain sawing
热压,hot pressing
跑锯,sawing defect
刨花干燥,particle drying
刨花分选,particle screening
端风机型干燥室,end-fan kiln
游离甲醛释放,emission of free formaldehyde
板院,lumber yard
干单板贮存,dry veneer storage
补条,shim
吸水率,water absorption
鼓泡,blister
模压刨花制品,molded particle product
四面下锯法,four-faced sawing
锯路,saw kerf
水泥刨花板,cement bonded particleboard
预固化层,procuring layer
人造板表面装饰,surface decoration of wood-based panel
饰面人造板,decorative single faced wood based panel
转移印刷,transfer printing
压痕,imprint
单板分等,veneer sorting
阻燃纤维板,fire-retardant fiberboard
平衡层,balancing sheet
胶合缺陷,glue defect
抛光垫板,polished caul plate
装饰胶合板,decorative plywood
色泽稳定性,gloss stability
表面耐龟裂性,resistance to cracking
单板剪切,veneer clipping
刮光,scraping
装饰薄木,decorative veneer
防腐胶合板,preservative plywood
单板出板率,yield of green veneer
木破率,wood failure ratio
模压纤维板,molded fiberboard
薄膜贴面人造板,film overlaid wood-based panel
表面耐磨性,resistance to wear
竹木复合地板,wood-bamboo composite flooring
剥壳除砂,deglazing
[可]拆装家具,knock-down furniture
藤条,rattan pole
原藤,raw cane
装配,assembling
木[制]家具,wooden furniture
钉接合,nailed joint
漂白藤,bleached cane
纸芯板,honeycomb board
合成树脂浸渍纸,resin impregnated paper
组框,frame clamping
抛光藤,polished cane
油浴藤,rining rattan
胶接合,glued joint
竹篾,bamboo sliver
木框,wooden frame
擦洗,scrubbing
封闭涂饰,aling painting
雕刻,carve
底漆,base coat
竹丝,bamboo strand
竹木复合层积材,wood-bamboo laminated lumber
烙花,pyrograph
竹编[席]胶合板,woven-mat plybamboo
不透明涂饰,opaque painting
剖竹,splitting open
木工机械,wood working machinery
封边,edge treatment
竹材拉丝机,bamboo thread-making machine
平拼,butt joint
仿形开榫机,copying tenoner
方材胶合,solid wood gluing and laminating
斜拼,scarf joint
干砂磨,dry sanding
填孔,pore filling
除尘机,dirt catcher
磨锯机,saw sharpener
多片多轴圆锯机,multiple saw
锯割,sawing
万能磨刀机,band and circular saw sharpener
辊涂,rolling
抛光,polishing
挤涂机,extrusion coater
滚筒干燥机,roller dryer
加压纤维分离机,pressurized refiner
组坯机,lay-up machine
磨浆机,attrition mill
热风干燥机,dry jector
刮光机,scrapper
制材机械,lumbering machinery
碎木机,hog
滚筒砂光机,drum sander
放卷机,unreeling machine
木材识别,wood identification
内含物,inclusion
木射线,wood ray
木材薄壁组织,xylem parenchyma
纺锤形木射线,fusiform ray
横切面,cross section
环孔材,ring porous wood
湿心材,wetwood
散孔材,diffuse porous wood
热冷槽法,hot-and-cold open tank process
木材顺纹抗压强度,compression strength parallel to grain of wood
常压处理,non-pressure treatment
木材横纹抗拉强度,tensile strength perpendicular to grain of wood
正负频压法,positive and negative frequency pressure treatment
枪注法,gun-injection process
表面处理,surface treatment
木材压电效应,piezoelectric effect of wood
药剂保持量,retention
气干密度,air-dry density
木材天然缺陷,natural defect of wood
木材吸水性,water-absorbing capac-ity of wood
处理性,treatability
木材环境特性,environmental property of wood
浸注性,impregnatability
总吸药量,gross absorption
阻燃防腐剂,fire-retardant preservative
溢油,bleeding
防边材变色药剂,sapstain control chemical
木材顺纹抗剪强度,shearing strength parallel to grain of wood
木材允许应力,permissible stress of wood
起霜,blooming
端裂,end check
软腐,soft rot
开榫机,tenoner machine
板皮,slab
嵌固式家具,build-in furniture
径裂,radial shake
涂料,paint
振荡加压法,oscillating pressure process
旋刀研磨角,bevel angle
浸渍处理,immersion treatment
刻痕,incising
林业产业带,forestry industry belt
林业分类经营,classified forest management
国有林业局,national forest management bureau
林业经营理论,forest management theory
林业行业协会,forestry industry association
森林地租,forest rent
林业管理信息系统,forestry management information system
林业区划,forestry zoning
林业碳汇,forest carbon sink
林业产业政策,forestry industrial policy
参与性乡村评估,participatory rural appraisal
林业机构,forestry agency
森林社会效益,forest social benefit
林业要素市场,factor market in forestry
林业生产力,forestry productivity
林业从业人员,forestry employee
森林生态补偿,forest ecological service payment
林业投资,forestry investment
森林生态税,forest ecological taxation
林地使用权,forestland use right
林权,forest tenure
木材安全,timber security
林农,forest farmer
家庭林场,family forest farm
林政管理,forestry governance
育林基金,forestry cultivation fund
林业文化体系,forestry cultural system
立木成本,stumpage cost
林业经济周期,business cycle in forestry
木材价格,timber price
林产品市场,forest product market
林业税费,forestry tax and fee
经济轮伐期,economic rotation
林产品,forest product
木质林产品,wood product
森林采伐许可证,logging permit
林业承包经营,forest management through outsourcing
林业分工论,forest land-use specialization
林业经营机制,forestry management mechanism
林业区域经济,regional forestry economy
国有林业企业,state-owned forestry enterprise
林业经营,forestry management
林业多种经营,forestry diversified management
林业产业结构,structure of forestry industry
森林生态经济效益评价,forest ecoeconomic benefit evaluation
国际林业合作,international forestry cooperation
固碳价值,carbon sequestration value
林业布局,forestry distribution
林业现代化,forestry modernization
林业生态体系,forestry ecosystem
森林保险,forest insurance
野生动植物保护管理,wildlife protection and management
林业产业,forestry industry
林地纯收益,forestland net income
林业产业竞争力,competitiveness of forestry industry
森林经济效益,forest economic benefit
限额采伐制度,logging quota system
林业进程,forestry process
国营林场,state-owned forest farm
林地生产率,forestland production rate
林地利用率,woodland using rate
森林公园管理,forest park management
毁林开荒,deforestation and land reclamation
社区共管,co-management
森林游憩价值,forest recreation value
合作造林,cooperative reforestation
林业经济增长率,forestry economic growth rate
林业技术经济效果,forestry technological economic effect
林业费,forestry fee
林产工业总产值,gross output value of forestry industry
木材需求,timber demand
采运成本,logging cost
林业企业集团,forestry enterprise group
森林资源经济学,forest resource economics
林政管理体制,forestry governance system
林业租赁经营,forest leasing management
社会林业,social forestry
股份制合作林场,cooperative shareholding forest farm
森林社会效益评价,forest social benefit evaluation
森林景观价值,forest landscape value
森林生产率,forest production rate
非法采伐,illegal logging
平原林业,plain forestry
快速乡村评估,rapid rural appraisal
森林生态补偿基金,forest ecological service payment fund
林地流转,forestland transfer and circulation
林业项目管理,forestry project management
林权制度,forest tenure system
林业项目可行性研究,forestry project feasibility study
集体林经营,collectively-owned forest management
碳价格,carbon price
国有林区,national forest area
林业“三定”,forestry three-settlements
森林法,forest law
私有林,private forest
集体林区,collective forest area
非木质林产品,non-wood product
集材费用,collecting cost
林产品供应,supply of forest product
林业项目环境评价,environmental assessment of forestry project
木材供给,timber supply
林业科技进步贡献率,sci-tech contribution rate to forestry
森林收益,forest income
林业项目社会评价,social assessment of forestry project
森林价值,forest value
木材贸易,timber trade
林产品流通,forest product circulation
林产品贸易,forest product trade
林业发展规划,forestry development plan
森林生态系统服务功能,forest ecosystem service function
乡村林场,community forest farm
多目标森林经营,multi-purpose forest management
林业经济管理,forestry economics management
林业集约经营,intensive forest management
森林生态经济系统,forest ecological and economic system
林业合作组织,forestry cooperative organization
林业发展指标体系,forestry development indicator system
林地所有权,forestland ownership
农林复合经营,agroforestry management
森林资源管护承包责任制,responsibility system for contracted-forest resources management
林业发展战略,forestry development strategy
集体林,collective forest
村林业股东会,village forestry shareholder group
森林休闲价值,forest leisure value
林权流转,forest property circulation
托管造林,delegated reforestation
中国21世纪议程林业行动计划,Forestry Action Plan for China’s Agenda 21
森林资源配置,forest resource allocation
国有林经营,state-owned forest management
高效林业,high efficiency forestry
护林公约,convention on forest protection
非公有制林业,non-public forestry
林业经济合同,forestry economic contract
森林资源核算,forest resource accounting
现代林业三大体系建设,Modern Forestry Three Key Systems Construction
林产品依存度,degree of dependency on forest product
森林旅游经济,forest tourism economy
农林界限地,agriculture-forestry boundary
森林非法采伐与相关贸易,illegal logging and associated trade
林业税,forestry tax
绿色贸易壁垒,green trade barrier
林业总产值,gross output value of forestry
木材收益,timber income
抚育费,tending fee
林业股份合作制,forestry shareholding cooperative system
林工商联合企业,integrated forestindustry-commerce enterprise
森林灾害经济学,economics of forest damage
更新改造基金,renewal and improvement fund
林业宏观调控,forestry regulation and control
林地生产力,forestland productivity
自然保护区管理,nature reserve management
碳补偿,carbon compensation
碳基金,carbon fund
林地期望值,woodland expected value
全民义务植树,national compulsory tree-planting
碳市场,carbon credit market
林木所有权,tree ownership
森林生态效益,forest ecological benefit
林地费用价值法,forestland costpricing
集体林场,collective forest farm
林业基金,forestry fund
古树名木价值,value of old and rare tree and valuable wood
国有林,national forest
护林员,forester
林地补偿费,woodland compensation fee
林业融资,forestry financing
林业增加值,added value of forestry
林业外部性,forestry externality
林产品贸易逆差,deficit in forest product trade
林业收益,forestry revenue
林产品需求,demand for forest product
林产品贸易顺差,surplus in forest product trade
林业社会化服务,forestry social service
现代林业,modern forestry
林业产业体系,forestry industry system
戊聚糖,pentosan
改性松香,modified rosin
水解纤维素,hydrocellulose
林业生物质,forest biomass
异海松酸,isopimaric acid
松脂澄清槽,oleoresin settler
薄荷油,oil of peppermint
锡兰肉桂油,cinnamon oil
植物多酚,plant polyphenol
印楝素,azadirachtin
水合萜[烯],terpene hydrate
樟脑油,camphor wood oil
杜仲胶,gutta percha
柠檬油,lemon oil
紫胶红色素,lac dye red
桧油,sabina oil
芳樟油,ho oil
水解单宁,hydrolysable tannin
芒果胶,mango gum
梓樟油,tamala oil
缩合单宁,condensed tannin
水合萜二醇,terpin hydrate
焦性没食子酸,pyrogallic acid
落叶松胶,larch gum
表紫胶壳脑酸,epilaccishelbolic acid
贝壳杉胶,kauri gum
银杏内酯,ginkgo lacton
紫胶色酸,laccaic acid
蒎烯,pinene
樟烷酸,laurolanic acid
檀香油,sandalwood oil
杜松子油,juniper berry oil
紫胶片,shellac
塔拉胶,tara gum
红粉,phlobaphene
β-葡糖苷酶,β-glucosidase
β-木糖苷酶,β-xylosidase
原花青素,procyanidin
植物鞣料,vegetable tanning material
栲胶,tannin extract
定向酶解,directed enzymatic hydrolysis
洋苏木色素,logwood color
柯黎勒酸,chebulinic acid
异香叶醇,isogeraniol
β-葡聚糖酶,β-glucanase
儿茶素,catechin
锰过氧化物酶,Mn-dependent peroxidase
蒸汽爆破,steam explosion
苛化,causticization
木片筛,chip screen
硫酸盐浆,kraft pulp
热磨,Asplund defibration
碱回收,chemical recovery
碱性过氧化氢机械浆,alkaline peroxide mechanical pulp
