中文,英文
物候模拟,phenological simulation
吸[引]子 引子,attractor
虚拟［数据］  人造［站］数据,bogus data
虚位移原理,virtual displacement ［principle］
虚无假设,null hypothesis
序贯分析,sequential analysis
侧风传感器,crosswind sensor
沉降风,fall wind
大气圈,atmosphere
冻雾,freezing fog
年际温度差,year-to-year temperature difference
暖水团,warm water mass
深冻,deep freeze
甚高分辨率辐射仪,"very high resolution radiometer, VHRR"
斯托克斯定理,Stokes theorem
冻季,freezing season
锋面,frontal surface
假潮,seiche
流,flow
絮状卷积云,"cirrocumulus floccus, Cc flo"
烟羽抬升,plume rise
严冬,severe winter
严冻,killing freeze
隐式［差分］格式,implicit ［difference］ scheme
隐式时间差分,implicit time difference
印度洋季风,Indian Ocean monsoon
印缅低槽,Indian and Burma trough
影区,shadow zone
优势周期,preferred period
游标,vernier
游[标]尺,vernier
有界导数法,bounded derivative method
有效夜间辐射,effective nocturnal radiation
终霜,latest frost
[乘]幂[定]律,power law
[大气]标高,scale height
[大气]不稳定度,[atmospheric] instability
[大气]透明度,[atmospheric] transparency
[大气]透射率,[atmospheric] transmissivity
[热带]稀树草原,savanna
埃斯特朗地球辐射表,Angstrom pyrgeometer
波阻,wave drag
方差分析,variance analysis
局地轴,local axis
气团源地,air-mass source
旋度,curl
固有振动,proper vibration
锢囚,occlusion
锢囚点,point of occlusion
锢囚气旋,occluded cyclone
惯性圆,inertial circle
惯性振荡,inertial oscillation
惯性重力波,inertia gravity wave
光测高温表,ardometer
纪,period
[幞]状云,pileus
背风面,lee side
遍历性,ergodicity
等变温线,isallotherm
干线,dry line
高山气压表,mountain barometer
黄雨,sulfur rain
冷季,cold season
冷空气,cold air
溢出,overflow
阵风振幅,gust amplitude
波阻,wave drag
开尔文波,Kelvin wave
天气资料,synoptic data
高程,altitude
古新世,Paleocene
极限,limit
农业小气候,agricultural microclimate
平行光管,collimator
直方图,histogram
波廓线,wave profile
辐射,radiation
古新世,Paleocene
国际标准大气,"International Standard Atmosphere, ISA"
黑雾,black fog
绝对速度,absolute velocity
能量图,energy diagram
暖涡,warm vortex
暖雾,warm fog
适应性,adaptability
土壤温度,soil temperature
虚温,virtual temperature
雪晶,snow crystal
雪粒,snow grains
支承,bearing
中子,neutron
催化,catalysis
倒槽,inverted trough
相消干涉,destructive interference
雪暴,snow storm
比熵,specific entropy
表面重力波,surface gravity wave
冰川,glacier
冰粒,ice particle
波浪,wave
防雹火箭,antihail rocket
分解,resolution
分流,diffluence
高度,"altitude, level"
高斯波包,Gaussian wave packet
海流，洋流,ocean current
黄雾,bai
露水板,dew plate
年平均,annual mean
暖舌,warm tongue
气体化学,aerochemistry
酸雪,acid snow
拖曳低压,drag depression
微粒含量,particulate loading
位相差,phase difference
[电离层]连续波测高仪,continuous wave ionosonde
[废气]凝结尾气,[exhaust] contrail
[分]支点,branching point
[海]岸风,shore wind
[海平面]气压换算,pressure reduction
[气]压温[度]计,barothermograph
[气候]海洋性影响程度,maritimity
[网]格点,grid point
[网]格距,grid distance
[卫星]星下点,"sub satellite point, SSP"
[云滴]并合,coalescence
[自然]荒漠化，[自然]沙漠化,desertization
二氧化碳当量,carbon dioxide equivalence
红外辐射,infrared radiation
火山尘,volcanic dust
锚冰,anchor ice
年径流[量],annual runoff
气团雾,air-mass fog
极地,polar region
狂涛（风浪级),very high sea
民用时,civil time
实时,real time
水型,water type
导数,derivative
地面资料,surface data
卡诺循环,Carnot cycle
灵敏度时间控制,"sensitivity time control, STC"
菱形截断,rhomboidal truncation
龙格-库塔法,Runge-Kutta method
龙卷,"tornado, spout"
露点,dew-point
露点测定器,dew-point apparatus
陆地卫星,"Land satellite, LANDSAT"
陆雾,land fog
乱卷云,"cirrus intortus, Ci in"
罗盘 指南针,compass
罗斯贝变形半径,Rossby radius of deformation
台风,typhoon
湾冰,bay ice
纬向剖面图,zonal cross section
测雹板,hailpad
马赫数,Mach number
马纬度,horse latitudes
麦克斯韦方程［组］,"Maxwell equation, s"
毛卷层云,"cirrostratus filosus, Cs fil"
毛卷云,"cirrus fibratus, Ci fib"
锚槽,anchored trough
敏感性试验,sensitivity test
明语气象报告,plain language report
南极锋,antarctic front
欧拉方法,Euler’s method
普适气体常数,universal gas constant
普通气象学,general meteorology
谱变换法,spectral transform method
气候学,climatology
气体常数,gas constant
气体动力粗糙度,aerodynamic roughness
气象赤道,meteorological equator
气象导航,meteorological navigation
气压层,barosphere
强化影像,enhanced image
强［环境］风暴和中尺度试验,"Severe Environmental Storms and Mesoscale Experiment, SESAME"
热带气旋,tropical cyclone
瑞利散射,Rayleigh scattering
上升气流,upward flow
剩余环流,residual circulation
湿度计,hygrograph
双向反射率,bi-directional reflectance
水平散度,horizontal divergence
随机样本,random sample
天空覆盖,canopy
天空蓝度,blue of the sky
天空蓝度仪,cyanometer
开尔文定理,Kelvin theorem
可见光,visible light
临界纬度,critical latitude
罗斯贝指数,Rossby index
罗斯贝重力混合波,Rossby gravity wave
毛发湿度计,hair hygrograph
模糊函数,ambiguity function
偶极子,dipole
食（日 月）,eclipse
适航天气,weather above minimum
水循环,hydrological cycle
瓦劳特日光温度表,Vallot heliothermometer
雨强重现周期,rainfall intensity return period
多次散射,multiple scattering
反演法,inverse method
平均偏差,average departure
平均值,mean value
散射截面,scattering cross section
吸附作用,adsorption
型式,pattern
洋中槽,"mid-ocean trough, MOT"
比容量,specific capacity
波幅,wave amplitude
波速,wave speed
波源,wave source
超折射,superrefraction
二氧化碳,carbon dioxide
分配,distribution
古生代,Paleozoic Era
光化吸收,actinic absorption
光解,photodissociation
光解作用,photolysis
[概率]分布律,distribution law
[高层]大气探测火箭,atmospheric sounding projectile
[高斯-]赛德尔迭代[法],[Gauss-] Seidel iteration
[墨西哥]湾流,Gulf Stream
[气]压毫巴(旧的测气压单位),baromil
平移探空仪,transosonde
溶解度,solubility
比容,specific volume
辐辏状高层云,"altostratus radiatus, As ra"
降水学,pluviometry
可见光谱,visible spectrum
能量收支,energy budget
暖池,warm pool
太阳微粒发射,solar corpuscular emission
拖曳波,trailing wave
微巴,barye
畜牧气象学,animal husbandry meteorology
整体分析,global analysis
自动天气站网,"automated weather network, AWN"
D层,D region
激浪,surf
位相谱,phase spectrum
比色法,colorimetry
地方时,local time
零温度层,zero temperature level
刘易斯数,Lewis number
龙卷回波,tornado echoes
罗兰导航,"long-range navigation, LORAN"
落叶阔叶林,deciduous broadleaved forest
落叶雪林气候,deciduous snow forest climate
南极反气旋,antarctic anticyclone
正压模式,barotropic model
二聚体,dimer
能量守恒,energy conservation
能量循环,energy cycle
逆温,temperature inversion
年际气压差,year-to-year pressure difference
年际温差,year-to-year temperature difference
年较差,annual range
农业气候区域,agroclimatic region
农业小气候,agricultural microclimate
浓度,concentration
浓积云,"cumulus congestus, Cu con"
暖布劳风,warm braw
暖区,warm sector
暖水层,warm water sphere
暖水团,warm water mass
暖心涡环,warm-core rings
暖性反气旋,warm anticyclone
暖性锢囚锋,warm occluded front
暖性气旋,warm cyclone
偶极反气旋,dipole anticyclone
偶极型,dipole type
判据,criterion
庞加莱波,Poincare wave
频率方程,frequency equation
平流辐射雾,advective-radiation fog
普朗特混合长理论,Prandtl mixing length theory
普朗特数,Prandtl number
气候分类［法］,climatic classfication
气候分析,climatic analysis
0级风,calm
草原,steppe
侧风,lateral wind
潮汐,tide
赤道气候,equatorial climate
方差谱,variance spectrum
分解,resolution
海洋天气预报,marine weather forecast
恒星日,sidereal day
近日点,perihelion
流型,flow pattern
硫尘,sulfur dust
气象观测员,observer
细胞,cell
锋,front
古温度,paleotemperature
极锋,polar front
逆温层,inversion layer
逆温层顶,inversion lid
区域-高程曲线,area-elevation curve
区域降水,area precipitation
发射,emission
气候年,climatic year
相似理论,similarity theory
波型,wave mode
国际标准化组织,"International Standards Organization, ISO"
零层,zero layer
日度,day degree
椭圆余弦波,cnoidal wave
涡线,vortex line
众数,mode
带,band
假冷锋,pseudo cold front
锚冰,anchor ice
二氧化硫,sulfur dioxide
黑体,black body
理论气象学,theoretical meteorology
马格纳斯公式,Magnus formulas
逆转,inversion
退水曲线,recession curve
拖曳系数,drag coefficient
万有引力定律,universal gravitational law
印度低压,Indian low
印度季风,Indian monsoon
潮流,tidal current
磁偏角,batch
簇,cluster
地面粗糙度,surface roughness
地形波,orographic wave
多元分析,multivariate analysis
方位,bearing
方位角,azimuth
年距平,annual anomaly
年平均,annual mean
平行,parallel
平流方程,advective equation
平流霜,advection frost
日照,sunshine
日照百分率,percentage of sunshine
零重力,zero gravity
漫［射］辐射,diffuse radiation
毛发湿度表,hair hygrometer
内存,memory
内积,inner product
内陆湖,closed lake
雨强计,rainfall intensity recorder
多雨气候,rainy climate
多元大气,polytropic atmosphere
多元过程,polytropic process
二次回波,second trip echo
二次型,quadratic form
二分点（春分点和秋分点）,Equinoxes
二至圈,solstitial colure
翻斗[式]雨量计,tilting bucket raingauge
翻转,overturning
反[演]问题,inverse problem
反季风,antimonsoon
反假日,anthelion
反馈,feedback
反气旋[性]涡度,anticyclonic vorticity
反梯度风,countergradient wind
反梯度热通量,countergradient heat flux
反相关，负相关,anticorrelation
反信风,antitrade
反演，逆转，还原,inversion
范艾伦辐射带,Van Allen radiation belt
范德波尔方程,Van der Pols equation
范德瓦耳斯方程,Van der Waals equation
范拉诺旱期（美洲热带仲冬久旱期）,verano
防风栅栏,wind shield
非[规]定时,offtime
非常规观测,non-conventional observation
非地转风,ageostrophic wind
非地转运动,ageostrophic motion
非对流降水,non-convective precipitation
非甲烷烃,nonmethane hydrocarbons
非晶形霜,amorphous frost
非绝热过程,diabatic process
非绝热加热,diabatic heating
非均质层,heterosphere
分类预报，分级预报,categorical forecast
风暴潮,storm surge
风暴尺度业务和研究气象学[计划],"Storm-Scale Operational and Research Meteorology [program], STORM"
风力工程,wind engineering
风向标,wind vane
风向袋,wind cone
风向风速表,anemorumbometer
风效应,wind effect
风压系数,coefficient of wind-pressure
风应力,wind stress
锋面,frontal surface
锋面波动,frontal wave
锋面分析,front analysis
锋面过境,frontal passage
辐辏状卷云,"cirrus radiatus, Ci ra"
辐射-对流模式,radiative convective model
辐射反馈,radiation feedback
复层积云,"stratocumulus duplicatus, Sc du"
复高层云,"altostratus duplicatus, As du"
副极带,subarctic zone
副极地,subpolar
副热带东风带,subtropical easterlies
副热带反气旋,subtropical anticyclone
副热带高压,subtropical high
副热带气旋,subtropical cyclone
副热带西风带,subtropical westerlies
傅里叶变换,Fourier transform
傅里叶分析,Fourier analysis
傅里叶积分,Fourier integral
傅里叶级数,Fourier series
傅里叶逆变换,inverse Fourier transform
覆盖区,coverage
伽略金方法,Galerkins method
概率分布,probability distribution
概率函数,probability function
感觉温度,sensible temperature
感热,sensible heat
感热通量,sensible heat flux
感应学说,influence theory
干沉降,dry deposition
干对流,dry convection
干对流调整,dry convection adjustment
干旱指数,drought index
干洁气柱辐射率,clear column radiance
干静力能量,dry static energy
干绝热过程,dry adiabatic process
干绝热直减率,dry adiabatic lapse rate
干空气,dry air
干燥[的],arid
干燥度,aridity
高层大气,upper atmosphere
高潮，满潮,high tide
高吹尘,blowing dust
高地气候,highland climate
高空风,upper wind
高空气象计,"aerograph, aerometeorograph"
高空气象学,"aerology, aerograph"
高云,high cloud
高指数,high index
缟状云,"velum, vel"
各向同性湍流,isotropic turbulence
各向异性,anisotropy
古近纪,Paleogene Period
古气候,paleoclimate
惯性力,inertial force
惯性稳定度,inertial stability
惯性预报,inertial forecast
惯性圆,inertial circle
惯性运动,inertial motion
光化分解,photochemical decomposition
光化射线,actinic ray
国际标准化组织,"International Standards Organization, ISO"
国际大地测量和地球物理学联盟,"International Union of Geodesy and Geophysics, IUGG"
国际单位制,"system international unit, SI unit"
国际地球物理年,"International Geophysical Year, IGY"
国际地圈生物圈计划,"International Geosphere-Biosphere Programme, IGBP"
国际日期变更线,International Date Line
国际卫星测云气候学计划,"International Satellite Cloud Climatology Project, ISCCP"
哈得来环流[圈],Hadley cell
哈得来域,Hadley regime
海岸效应,coastal effect
河流学,potamology
海平面气压,sea level pressure
海平面天气图,sea level synoptic chart
海水温度,ocean temperature
海滩冰,beach ice
海洋-大陆对比,maritime continental contrast
海洋环流,ocean circulation
海洋环流模式,"oceanic general circulation model, OGCM"
海洋气象学,marine meteorology
海洋气象站,ocean weather station
海洋生物学,marine biology
海洋卫星,"Sea satellite, SEASAT"
海洋物理,oceanophysics
亥姆霍兹不稳定,Helmholtz instability
含量,concentration
行星边界层,"planetary boundary layer, PBL"
航空[天气]预报,aviation [weather] forecast
航空气候区划,aeronautical climate regionalization
航空气候学,"aeronautical climatology, aviation climatology"
航空气象学,aeronautical meteorology
航空天气订正预报,amendment of aviation weather forecast
航空天气情报,aviation weather information
合成风,resultant wind
合成孔径雷达,"synthetic aperture radar, SAR"
核冬天,nuclear winter
核函数,kernel function
核化,nucleation
黑冰，透明[薄]冰[层],black ice
横波,transversal wave
横槽,transversal trough
红外辐射,infrared radiation
红外温度表,infrared thermometer
红外温度廓线辐射仪,"〖JP4〗infrared temperature profile radiometer, ITPR"
后倾槽,backward tilting trough
后退波,retrograde wave
湖面波动,seiche
化学需氧量,"chemical oxygen demand, COD"
化学烟气,chemical smoke
化学荧光,chemiluminescence
环流型,circulation pattern
灰[色标]度,gray scale
灰尘沉降,ash fall
蒙古低压,Mongolian low
蒙特卡罗方法,Monte-Carlo method
模糊[性]理论,fuzzy theory
模糊数学,fuzzy mathematics
模块,module
模拟,"modeling, simulation"
摩擦辐散,frictional divergence
年较差,annual range
年轮,annual ring
年轮气候学,"dendroclimatology, tree ring climatology"
年轮气候志,dendroclimatography
年轮生态学,dendroecology
年平均温度,mean annual temperature
凝结核,"condensation nucleus, CN"
凝结核计数器,condensation nuclei counter
凝结加热,condensation heating
凝结尾迹，废气尾迹,contrail
凝结效率,condensation efficiency
农业地形气候学,agrotopoclimatology
农业气候,agroclimate
农业气候分类,agroclimatic classification
农业气候学,"agroclimatology, agricultural climatology"
农业气候指标,agroclimatic index
暖锋云系,warm front cloud system
暖高压,warm high
暖涡,warm vortex
诺阿卫星,NOAA Satellite
欧拉方法,Eulers method
偶然误差,accidental error
庞加莱截面,Poincare cross section
皮叶克尼斯环流定理,Bjerknes theorem of circulation
频率滤波,frequency filtering
平均年温度较差,mean annual range of temperature
平均皮肤温度,mean skin temperature
平均算子,averaging operator
平均温度,mean temperature
平均误差,average error
平流层化学,stratospheric chemistry
平流层硫酸盐层,stratospheric sulfate layer
平流层逆温,stratospheric inversion
平流层上部,upper stratosphere
平流层污染,stratospheric pollution
平流层污染物,stratospheric pollutant
平流辐射雾,advection-radiation fog
平流过程,advection process
平流逆温,advective inversion
平流雾,advection fog
评估，评价,assessment
坡风,slope wind
奇异点,singular point
奇异性,singularity
歧点,bifurcation point
旗云,banner cloud
起飞[天气]预报,taking off [weather] forecast
气候带,"climatic zone, climatic belt"
气候地带性,climatic zonation
气候地貌学,climatic geomorphology
气候对比,climatic contrast
气候恶化，气候蜕化,climatic degeneration
气候反常,climate abnormality
气候极值,climatic extreme
气候敏感性,climatic sensitivity
气候敏感性试验,climate sensitivity experiment
气候模拟,climate simulation
气候模式,climate model
气候平均值,climatological normal
气候图集,climatic atlas
气候系统,climate system
气候现象,climatic phenomenon
气候效应,climatic effect
气候学[方法]预报,climatological forecast
气候循环,climatic cycle
气候驯化,climatic domestication
气候约束[因子],climatic constraint
气候韵律,climatic rhythm
气候栽培界限,climatic cultivation limit
气候状态,climate state
气凝胶,aerogel
气泡,air bubble
气球观测,balloon observation
气球探测,"balloon sonde, balloon sounding"
强陆风,raggiatura
热对比,thermal contrast
气团属性,air-mass property
气团雾,air-mass fog
气团性降水,air-mass precipitation
气象病,meteorotropic disease
气象潮,meteorological tide
气象赤道,meteorological equator
气象导航,meteorological navigation
气象电码,meteorological codes
气象观测,meteorological observation
气象观测平台,meteorological platform
气象官能症,meteorotropism
气象光学视程,"meteorological optical range, MOR"
气象航线,meteorological shipping route
气象火箭,meteorological rocket
气象雷达,meteorological radar
气象损失,meteorological loss
气旋,cyclone
前寒武纪,Precambrian
前进波,progressing wave
前倾槽,forwards-tilting trough
前向散射,forward scatter
前向散射滴谱仪探头,"forward scattering spectrometer probe, FSSP"
前向散射能见度仪,forward scatter visibility meter
潜流,underflow
强迫波,forced wave
强迫对流,forced convection
强迫振荡,forced oscillation
切变涡度,shear vorticity
取样站,sampling station
热带低压,tropical depression
热带东风带,tropical easterlies
热带东风急流,tropical easterlies jet
热带对流层上部槽,"tropical upper-tropospheric trough, TUTT"
热带稀树草原气候，萨瓦纳气候,savanna climate
热岛效应,heat island effect
热低压,thermal low
热对流,thermal convection
热风,hot wind
热辐射,thermal radiation
热含量,heat content
日柱,sunpillar
散度,divergence
散射,scattering
水半球,oceanic hemisphere
酸雹,acid hail
相速［度］,phase velocity
消光,extinction
［冰］雹,hail
冰暴,ice storm
等熵分析,isentropic analysis
气候记录,climatic record
气温,air temperature
气象噪声,meteorological noise
日［地］距,solar distance
梯度,gradient
新元古代,Neoproterozoic Era
序列,series
雪堆,snow drift
沿岸流,littoral current
有限差分,finite differencing
有限差分模式,finite difference model
有限元法,finite element method
雨期,pluvial
原理,principle
原始方程模式,primitive equation model
月平均,monthly mean
造山作用,orogenesis
蒸散,evapotranspiration
直收地面站,direct read-out ground station
植被,vegetation cover
指示器,indicator ［figure］
中雨,moderate rain
最小值,minimum value
海洋天气船,ocean weather vessel
集合平均,ensemble average
集合预报,ensemble forecast
毛卷云,"cirrus fibratus, Ci fib"
中尺度,mesoscale
雹核,hail core
断虹,broken rainbow
二氧化氮,nitrogen dioxide
复合,recombination
高吹雪,blowing snow
红外温度表,infrared thermometer
宏观黏滞度,macroviscosity
局地变化,local variation
冷槽,cold trough
日出,sunrise
土壤酸度,soil acidity
吸附作用,adsorption
新冰,young ice
10级风,storm
11级风,violent storm
22度晕,22?halo
2级风,light breeze
3级风,gentle breeze
46度晕,46?halo
E-P通量,Eliassen-Palm flux
e倍增(减)时间,e-folding time
MST雷达,MST radar
S1评分,S1 score
t检验,t test
T评分,threat score
ZR关系,Z-R relationship
z坐标,z coordinate
β平面,"Beta plane, β-plane"
β平面近似,β-plane approximation
π定理,π-theorem
埃斯特朗浑浊度系数,Angstrom turbidity coefficient
白噪声,white noise
百分比，百分率，百分数,percent
百慕大高压,Bermuda high
百帕(气压单位 等于1毫巴),"hectopascal, hPa"
切变线,shear line
热带雨林,hylea
高度方位距离位置显示器,"height-azimuth-range-position indicator, HARPI"
高空锋,upper front
高空锋区,upper frontal zone
高空急流,upper-level jet stream
［高斯-］赛德尔迭代,[Gauss-] Seidel iteration
国际地圈生物圈计划,"International Geosphere-Biosphere Programme, IGBP"
国际减灾十年计划,"International Decade for Natural Disaster Reduction, IDNDR"
气象站网,reseau
饱和区,zone of saturation
饱和水汽压,saturation vapor pressure
鲍恩比,Bowen ratio
鲍尔太阳指数,Baurs solar index
背风坡低压,lee depression
崩溃,"collapse, breacdown"
比热,specific heat
比湿,specific humidity
边界，界限,boundary
边界层气候,boundary layer climate
边界层气象学,boundary layer meteorology
边界层探空仪,boundary layer radiosonde
变化,variation
飑锋,squall front
飑线,squall line
冰川反气旋学说,glacial anticyclone theory
冰川风,glacier breeze
冰川减退,deglaciation
冰岛低压,Icelandic low
冰缘气候,periglacial climate
波动理论,wave theory
波动强迫[作用],wave forcing
补偿式绝对日射表,compensating pyrheliometer
补偿式天空辐射表,compensated pyranometer
补充[天气]预报,supplementary [weather] forecast
补充观测,supplementary observation
捕获波,trapped wave
不定转移系统，非可递系统,intransitive system
不冻地,tabetisol
直展云,heap cloud
植被指数,vegetation index
植物带,botanical zone
指数循环,index cycle
志留纪,Silurian Period
中尺度背风［坡］涡旋,mesoscale lee vortex
中尺度低压,mesoscale low
中世纪暖期,"Medieval Warm Epoch, MWE"
中世纪气候适宜期,Medieval Climate Optimum
中位数 中数 中值,median
空间,space
中位体积直径,median volume diameter
中温气候,mesothermal climate
中小气候情况,climatomesochore
中心极限定理,central limit theorem
中央处理器,"central processing unit, CPU"
中云,middle cloud
终雪,last snow
重放 再现,playback
驻波,standing wave
驻涡,standing eddies
锥头温度表,conical-head thermometer
锥形冰雹,conical hail
自动气象观测系统,"automated weather observing system, AWOS"
自动气象观测站,automatic meteorological observation station
自动气象站,automatic meteorological station
自动数据处理,automatic data processing
自动图像传输,"automatic picture transmission, APT"
自回归法,autoregression method
自回归滑动平均,"autoregressive moving-average, ARMA"
自回归积分滑动平均,autoregressive integrated moving average
后曲锢囚,back-bent occlusion
上风向,upwind
小冰期,Little Ice Age
斜压过程,baroclinic process
冰,ice
地面雾,ground fog
范托夫定律,vant Hoffs law
核冬天,nuclear winter
核函数,kernel function
小波,wavelet
总角动量,total angular momentum
总能量方程,total energy equation
总体,population
总体参数化,bulk parameterization
总体速度,bulk velocity
总体性质,bulk property
总云量,total cloud cover
纵波,longitudinal wave
阻尼振荡,damped oscillation
阻塞高压,blocking high
最大降水[量],maximum precipitation
最大设计平均风速,maximum design wind speed
最大瞬时风速,maximum instantaneous wind speed
最低气象条件,meteorological minimum
最低温度表,minimum thermometer
最佳航线,"optimum track route, optimum track line"
最佳滤波器,optimum filter
最佳气候,optimum climate
伽玛分布,gamma distribution
概率,probability
能量守恒,energy conservation
年轮学,dendrochronology
气候灾害,climate damage
实际观测时间,actual time of observation
天气资料,synoptic data
自协方差,autocovariance
自协方差谱,autocovariance spectrum
波阻塞,wave blocking
操作,operation
光化通量,actinic flux
本站气压,station pressure
辐合,convergence
干冰,dry ice
各态历经系统,ergodic system
各向同性,isotropy
极光帘 极光幔,auroral draperies
