中文,英文
净次级生产量 净第二性生产量,net secondary production
风积物,eolian deposit
分布,dispersion
风成沉积,eolian deposit
河口浮游生物,estuarine plankton
寡污带,oligosaprobic zone
对流性气流,convectional current
汉密尔顿法则,Hamilton's rule
端始种 雏形种,incipient species
对比度,contrast　
固着器 附着器,holdfast
耗散[结构]理论,dissipative theory
旱生演替系列,xerosere
动物体外散布,epizoochore
呼吸消费量,respiratory consumption
环境反应,biapocrisis
核心生境,core habitat
后滨,back shore
环境工程,environmental engineering
呼吸/生物量比,respiration/biomass ratio
活命-一餐原理,life-dinner principle
化学防治,chemical control
宏[观]进化,macroevolution
环境取向,environmental preference
黑箱模型,black box model
化学通信,chemical communication
化石燃料,fossil fuel
呼吸计,respirometer
还原论 简化论,reductionism
恒向趋性,menotaxis
呼吸流,respiratory current
粪量测定器,coprometer
分数维,fractal dimension
分解速率,decomposition rate
分对数变换,logit transformation
分裂选择 歧化选择,disruptive selection
分株,ramet
单雄群,one-male group
不育性,sterility
分娩季,delivery season
捕食者饱和效应,predator satiation
单位捕捞努力量渔获量 单位努力捕获量,catch per unit effort
残效,residual effect
分解代谢,catabolism
草原气候,grassland climate
草原指示植物,grassland indicator
单因子分析,single factor analysis
粪化石,coprolite
单循环性,monocyclic
分化系数,coefficient of differentiation
草地,grassland
单循环湖,monomictic lake
捕食者转换,predator switching
氮沉降,nitrogen deposition
海洋,marine
地理生态型,geoecotype
地球资源[技术]卫星,earth resources technology satellite
地理宗,geographic race
低渗压调节,osmotic hyporegulation
地下水,ground water
地理变异,geographical variation
低狭温性,oligothermal
底栖动物区系,bottom fauna
堤后草泽,back marsh
岛屿生物地理学,island biogeography
地位指数 立地指数,site index
空中漂浮植物 大气浮游植物,aeroplanktophyte
火成演替,pyrogenic succession
几何增长率,geometric rate of increase
地植物学带,geobotanical zone
地形雨,orographic rainfall
空间尺度,space scale
记名样方法,list quadrat method
活食者,biophage
火烧演替,pyrrhic succession
点四分法,point-centered quarter method
方格取样,grid sampling
多样性指数,index of diversity
多样性梯度,diversity gradient
国际长期生态研究,International Long-Term Ecological Research
过高[种群]密度 种群过密,overpopulation
昆虫聚集信息素,insect aggregation pheromone
拉马克学说,Lamarckism
反刍类,ruminant
国际生物多样性科学研究规划,DIVERSITAS
扩散信息素,dispersal pheromone
反照率,albedo
发育阶段,developmental stage
阔叶林,broadleaf forest
国际生物学计划,International Biological Programme
阔叶材,hardwood
二次循环湖,dimictic lake
二态性 二态现象,dimorphism
多样性-稳定性假说,diversity-stability hypothesis
γ多样性,gamma diversity
过量征候,excess symptom
发光细菌,photobacteria
发育起点温度,developmental threshold temperature
反硝化作用,denitrification
关联分析,association analysis
光呼吸,photorespiration
海侵时期,transgression stage
光周期现象 光周期性,photoperiodism
灌木,shrub
关于特别是水禽栖息地的国际重要湿地公约,Convention on Wetlands of International Importance Especially as Waterfowl Habitat
海洋生态演替,marine succession
光能有机营养生物,photoorganotroph
光[能]异养生物,photoheterotroph
光合有效辐射,photosynthetically active radiation
光化学过程,photochemical process
海岸群落,coastal community
海藻,marine algae
光度计,photometer
光化学烟雾,photochemical smog
海洋沉积物,marine deposit
光损害效应,photodestructive effect
冷适应,cold adaptation
竞争相互作用,competitive interaction
聚集,aggregation
竞争[能]力,competitive ability
离巢性,nidifugity
竞争共存,competitive coexistence
卡价 热值,caloric value
距离法 间隔法,distance method
聚集分布,aggregated distribution
径流系数,runoff coefficient
具冠毛种子,comospore
局部循环湖 局部分层湖,meromictic lake
防雪林,snowbreak forest
绝对湿度,absolute humidity
竞争序,competition order
防御行为,defense behavior
竞争优势,competitive dominance
寒荒漠群落,frigorideserta
防御性互利共生,defensive mutualism
聚集信息素,aggregation pheromone
静止代谢率,resting metabolic rate
利他主义,altruism
年平均摄取量,mean annual uptake
漂浮植物群落,floating plant community
年龄组成,age composition
森林影响,forest influence
杀螨剂,miticide
三叠纪,Triassic period
山地生物群系,orobiome
陪伴关系,consort relationship
偏利素,apneumone
鸟媒花,ornithophilous flower
间歇性河口,intermittent estuary
间断年轮,discontinuous ring
暖温带,warm-temperate zone
建成种群,established population
排泄物,egesta
黏土,clay
间断进化,punctuated evolution
攀缘植物,climber
尖翅蠊素,nauphoetin
排序,ordination
家族群,kin group
凝视时间假说,stare duration hypothesis
鸟环志,bird banding
渗透[压]调节,osmotic regulation
摄食生态位,feeding niche
渗透势,osmotic potential
品系,line
渗透[作用],osmosis
摄食行为,feeding behavior
摄食率,grazing rate
贫营养湖,oligotrophic lake
品种,breed
贫营养化,oligotrophication
渗透压顺应生物,osmoconformer
平均世代时间,mean generation time
深渊[底]带,abyssal zone
上升流,upwelling
平均最近邻距,mean distance to nearest neighbor
生产,production
渗透压,osmotic pressure
深底带,profundal zone
平行进化,parallel evolution
交配同类群,gamodeme
生产参数,production parameter
频率分布,frequency distribution
频度,"frequency,frequence"
上层木,tree of overstory
破坏性砍伐,destructive lumbering
气味强度指数,odor intensity index
密度跃层 密度突变层,pycnocline
蔓延过程,contagious process
铆钉假说,rivet-popper hypothesis
木质纤维素降解,ligocellulose degradation
密度制约控制,density-dependent control
匍匐植物,"creeping plant,stoloniferous plant,trailing plant"
敏感指数,sensitive index
气候循环 气候周期,climatic cycle
群落平衡,community equilibrium
取样变异,sampling variation
去除取样法,removal sampling
确限种,exclusive species
迁飞路线,flyway
弃耕地,abandoned field
耐寒性,cold hardiness
群落表,community table
迁移性放牧 牲畜季节性迁移,transhumance
生物放大,biological magnification，biomagnification
取食诱发剂,feeding incitant
群落生活,coenobiosis
全球生态学,global ecology
那氏信息素 引导信息素,Nosanov pheromone
群落相似系数,coefficient of community similarity
群落学,coenology
全球定位系统,global positioning system
群落环,community ring
食鱼动物,ichthyovorous animal
冗余种 物种冗余,species redundancy
壤土,loam
人与生物圈计划,Man and the Biosphere Programme
人类生态学,human ecology
日演替,daily succession
热流,heat flux
热[量]平衡,heat balance
群落组成,community composition
食物网,food web
食物链效率,food chain efficiency
使用价值,instrumental value
日补偿点,daily compensation point
食鱼性,piscivory
嗜氮植被,nitrophilous vegetation
世界性植物,cosmopolitan plant
生命支持系统,life support system
生态生理学,ecological physiology
世代时间,generation time
生态零值,ecological zero
生态恢复,ecological restoration
生态旅游,ecological tourism
示爱 求偶展示,courtship display
生态场,ecological field
适生城市植物,urbanphil plant
生态冲击 生态反冲,ecological backlash
生理小种,physiological race
生态群,ecological group
适应值,adaptive value
生态能量学,ecological energetics
世代交替,alternation of generations
生态价 生态值,ecological valence
趋水性,hydrotaxis
生物还原作用,bio-reduction
趋温性,thermotaxis
生态位宽度,niche width
生态位互补性,niche complementarity
亲缘选择 亲属选择,kin selection
切沟侵蚀,gully erosion
生物多样性热点,biodiversity hotspot
前信息素,propheromone
α多样性,alpha diversity
大洋浮游生物 远洋浮游生物,oceanic plankton
多细胞生物,multicellular organism
白化[现象],albinism
多食性,polyphagy
多态性基因座,polymorphic locus
β多样性,beta diversity
环境生理学,environmental physiology
帮手,helper
斑块,patch
饱和点,saturation point
半月生殖周期,semilunar reproductive cycle
饱和密度,saturation density
环志,banding
灰霾,dust-haze
根系竞争,root competition
共代谢过程,cometabolism process
更新,regeneration
混成层,mixolimnion
古老特有种,epibiotic endemic species
荒漠土壤,desert soil
回交,"backcross,back-crossing"
根冠比,root/shoot ratio
更新砍伐,regeneration cutting
根际,rhizosphere
荒漠生态系统,desert ecosystem
惠特克指数,Whittaker's index
共生腐生植物,symbiotic saprophyte
根[状]茎,rhizome
汇种群,sink population
共适应 互适应,coadaptation
产卵期,oviposition period
长期生态研究,long-term ecological research
谷坊,check dam
产量-密度效应,yield-density effect
动态模型,dynamic model
定向选择,directional selection
虫媒传播疾病,insect-borne disease
古生态学,paleoecology
动物区系演替,faunal succession
动态库模型 补充群体模型,dynamic pooled model
尺度推绎 尺度转换,scaling
重叠度,degree of overlap
产量系数,yield coefficient
重演发育,palingenesis
重演律,law of recaptulation
定形群体,coenobium
产卵,oviposition
断层,fault
毒性指数,toxicity index
旱期休眠,drought dormancy
关键因子,key factor
耗散结构,dissipative structure
河口生态系统,estuarine ecosystem
对抗展示,agonistic display
冻敏感植物,freezing-sensitive plant
禾草沼泽,grass moor
近交,"inbreeding,inbreed"
落尘,fallout
孑遗群落,relict community
逻辑斯谛方程,logistic equation
清除共生 清洁共生,cleaning symbiosis
近交衰退,inbreeding depression
进化 演化,evolution
侵蚀[作用],erosion
接触样点法,point-contact method
禁猎区,sanctuary
求爱行为,presenting
青饲料,green fodder
拮抗作用,antagonism
林业,forestry
林分密度,stand density
陆地生态系统,terrestrial ecosystem
绿肥,green manure
淋溶作用,eluviation
领域性,territoriality
临界期,critical phase
区域群丛,regional association
临界热增量,critical thermal increment
流水植物,rheophyte
硫循环,sulfur cycle
领域,territory
林奈种,Linnean species
鳞茎地下芽植物,geophyta bulbosa
陆生植物,terrestrial plant
猎物 被食者,prey
临界体长,critical size
趋化性,chemotaxis　
流动沙丘,mobile dune
邻域分布,parapatry
南非干燥[台地]高原,karroo
浮游病毒,viroplankton
浮游动物,zooplankton
辅加能量 能量补助,energy subsidy
卵生,oviparity
浮叶植物,floating-leaved plant
浮游细菌,planktobacteria
内环境,internal environment
蜂王物质,queen substance
蜂王信息素,queen pheromone
封闭生态系统,closed ecosystem
耐热性,heat tolerance
耐旱性,drought tolerance
耐压性,barotolerant
孵化,incubation
耐性种 耐污染物种,tolerant species
色素适应,chromatic adaptation
漂浮草甸,floating meadow
软释放,soft release
沙丘固定,dune fixation
能量效率,energy efficiency
藓类沼泽,moss-moor
下行效应,top-down effect
狭温种,stenothermal species
瞬时全死亡率,instantaneous rate of total mortality
水生草本群落,aquiherbosa
下层浮游生物 底层浮游生物,hypoplankton
先锋群落,pioneer community
嫌雪植物,chianophobe
现存种群,standing population
系统发生学,phylogenetics
似禾草植物,grasslike plant
细沟侵蚀,rill erosion
生殖成本,reproductive cost
相对光照强度,relative light intensity
完全密度制约因子,perfectly density-dependent factor
外内生菌根,ecto-endotrophic mycorrhiza
消光系数,extinction coefficient
相对优势度,relative dominance
隐态,crypsis
威胁姿势,threat posture
线性系统,linear system
向水性,hydrotropism
小环境 微环境,microenvironment
隐芽山区干草原,cryptophyte mountain steppe
消化效率,digestive efficiency
消费效率,consumption efficiency
小波分析,wavelet analysis
相对生长,relative growth
微动物区系,microfauna
相对干旱指数,relative drought index
营巢地,nesting site
营养不良湖,dystrophic lake
特化,specialization
碳氮比,carbon-nitrogen ratio
体长频度分布,length-frequency distribution
天敌,natural enemy
永滞层 无循环层,monimolimnion
梯度分析,gradient analysis
拥挤,crowding
特定死亡率,specific mortality
体温过高 过热,hyperthermia
碳债,carbon debt
梯度变异 渐变群,cline
鹰-鸽-反击者模型,Hawk-Dove-Retaliator model
盐化作用,salinization
演替趋同,successional convergence
洋盆,ocean-basin
偷猎,poaching
透水层,permeable layer
岩石圈,lithosphere
盐胁迫,salt stress
演替系列亚群相,locies
仪式化,ritualization
叶芽,foliar bud
渔获率,rate of fishing
硬度,hardness
夜行动物,nocturnal animal
一雄多雌阈值,polygyny threshold
遗传二态性,genetic dimorphism
一大或数小原则 SLOSS原则,single large or several small principle
叶附生植物群落,epiphyllous community
雨绿林,rain-green forest
遗传标记,genetic marker
鱼类体长组成,fish length-frequency composition
友善行为,friendly behavior
有机沉积物,organic sediment
鱼苗,fry
雨绿灌木群落,hiemefruticeta
应用生态学,applied ecology
样区,sampling area
一年生植物,therophyte
温室生态系统,greenhouse ecosystem
郁闭林分 密闭林分,closed stand
无融合生殖,apomixis
无性生殖,asexual reproduction
无性种,agamospecies
稳定年龄分布,stable age distribution
污染控制,pollution control
郁闭林冠,closed canopy
稳定选择,stabilizing selection
污泥,sludge
温湿图,temperature-moisture graph
污泥膨胀,sludge bulking
穩定平衡,stable equilibrium
污水处理,sewage treatment
污染,pollution
污染负荷,pollution load
污染预防,pollution prevention
萎缩,atrophy
稳定极限环,stable limit cycle
温带针叶林,temperate coniferous forest
物种均匀度,species evenness
植物群落学 地植物学,geobotany
土栖大型动物,soil macrofauna
物种不变论,theory of species immutability
突生进化,emergent evolution
物种,species
微食物网,microbial food web
信号刺激,sign stimulus
植物区系地理学,floristic plant geography
植物生理生态学,plant physiological ecology
新生代,Cenozoic Era
新拉马克学说,neo-Lamarckism
土地利用与土地覆盖变化,Land Use and Land Cover Change
植物区系组成,floristic composition
信息量,information content
选择性杀虫剂,selective insecticide
选择放牧,selective grazing
有树干性草原,tree steppe
悬浮体,suspensoid
性腺成熟系数,coefficient of maturity
需水量,water requirement
r选择,r-selection
有限自然增长率,finite rate of natural increase
逃避机制,escape mechanism
特有现象,endemism
特定年龄生命表,age-specific life table
特优种,predominant
体内,in vivo
印记 印痕,imprinting
体型选择捕食,size-selection predation
饲草系数,forage factor
溯河洄游 溯河繁殖,anadromous migration
随机变量,random variable
同生群生命表 同龄群生命表,cohort life table
随机灭绝,stochastic extinction
通气组织,aerenchyma
条件反应,conditional response
饲草,forage
泰加林 北方针叶林,taiga
随机系统,stochastic system
同化系统,assimilation system
随机交配种群,panmictic population
同胞种,sibling species
同系交配,endogamy
条件反射,conditional reflex
同胞关系,sibship
习得性行为,learned behavior
酸性岩,acidic rock
太阳跟踪,solar tracking
跳跃式物种形成,saltational speciation
田间试验,field experiment
同生演替系列 同地演替系列,cosere
养分缺乏,nutritional deficiency
亚种群,subpopulation
盐水浮游生物,haloplankton
盐度,salinity
氧债,oxygen debt
演替系列组合,socies
演替植物地理学,syngenetic geobotany
盐跃层 盐变层,halocline layer
氧化塘,oxidation pond
样点观察法,point observation method
养分利用效率,nutrient-use efficiency
演替系列顶极[群落],serclimax
亚致死热胁迫,sublethal heat stress
岩礁,rocky reef
氧跃层,oxycline
样地,plot
盐漠,salt desert
养分 营养物,"nutrient,nutrition"
性隔离,sexual isolation
嗅觉仪,olfactometer
性别结构,sexual structure
形态演进,aromorphosis
约翰逊诱捕器,Johnson trap
杂合优势,heterozygote superiority
月运周期,lunar cycle
状态变量,state variable
云带,cloud band
亚高山带,subalpine zone
月节律,lunar rhythm
幼体发育,paedomorphosis
杂合现象,heterozygosis
幼龄林,young forest
亚寒带种,subfrigid zone species
蒸发散热临界温度,critical temperature for evaporative heat loss
直接成种,directed speciation
协同相互作用,cooperative interaction
支序种,cladistic species
协同进化,coevolution
支柱根,prop root
植被镶嵌,vegetation mosaic
蒸发蒸腾计,evapotranspirometer
整合分析,meta-analysis
稀释效应,dilution effect
征召信息素,recruitment pheromone
争夺竞争,scramble competition
针叶材,softwood
直径分布,diameter distribution
真核生物,eucaryote
稀疏植被,sparse vegetation
吸收损耗,absorption loss
种群模型,population model
昼夜节律,circadian rhythm
自然禁猎区,natural sanctuary
自然更新,natural regeneration
助食素 激食物质,feeding stimulant
自然死亡率,natural mortality
亚群相,lociation
亚热带雨林,subtropical rain forest
最大平衡渔获量,maximum equilibrium catch
致死剂量,lethal dosage
最适领域大小,optimal territory size
中型底栖性,mesobenthic
中型浮游生物,mesoplankton
总生产效率,efficiency of gross production
最小样方数,minimum quadrat number
最适温度,optimum temperature
α中污带,α-mesosaprobic zone
中污生物,mesosaprobe
中性共生,neutralism
致畸剂,teratogen
最小风险原理,conjugate principle of risk and opportunity
指数律,exponential law
β中污带,β-mesosaprobic zone
自游浮游生物,nektoplankton
总光合作用,gross photosynthesis
中性等位基因,neutral allele
最适密度,optimum density
总磷,total phosphorus
最大出生率,maximum natality
净辐射,net radiation
有害生物防治,pest control
钻孔生物 钻蚀生物,boring organism
广氧性,euryoxybiotic
种内攻击,intraspecific aggression
种群生存力分析,population viability analysis
昼行性,diurnality
种内合作,intraspecific cooperation
种群,population
种群统计参数,demographic parameter
种群调查,census
主动运输,active transpot
自然发生说 无生源说,"abiogenesis,archigenesis,archigony"
自然发生,autogeny
资源限制,resource limitation
紫外线,ultraviolet ray
自体繁殖,self-propagation
自然保护区,nature reserve
最低因子律 最小因子律,law of the minimum
原溞状幼体,protozoea larva
亚群丛,subassociation
最低死亡率,minimum mortality
自然景观,natural landscape
资源管理,resource management
亚沿岸带,sublittoral zone
种-面积假说,species-area hypothesis
指数分布,exponential distribution
终宿主,final host
指示群落,indicator community
周转期 周转时间,turnover time
昼长处理,day-length treatment
种群平衡,population equilibrium
昼夜活动节律,daily activity rhythm
周转,turnover
种内关系,intraspecific relationship
种群稳定性,population stability
重力水,gravitational water
纬度地带性,latitudinal zonation
消费链,consumer chain
逸生植物,feral plant
一化,univoltine
限制浓度,limiting concentration
偷窃寄生现象,kleptoparasitism
深海渔业,deep-sea fishery
土壤有效水,soil available water
蜕皮激素,ecdysone
土壤自由水,soil free water
分室化[作用],compartmentalization
草沼,marsh
归巢,homing
分角法,angle method
不连续变异,discontinuous variation
残遗土,relict soil
分散度指数,index of dispersion
分解[作用],decomposition
捕食压力,predation pressure
分室模型,compartment model
残余物,residue
不调和生物区系,disharmonic biota
草原改良,grassland improvement
淡水生态学,freshwater ecology
淡水生态系统,freshwater ecosystem
低地沼泽群落,hygrophorbium
当年吸收量,current annual uptake
地面植被层,field layer
地下水径流,ground water runoff
抵抗力 抗性,resistance
岛屿生物区系,island biota
堤后林泽,back swamp
海雪,marine snow
地带性植被,zonal vegetation
底栖生物,benthos
地理分布,geographical distribution
海水养殖,mariculture
氮氧化合物,nitrogen oxide
地面芽植物,hemicryptophyte
刀耕火种 烧荒垦种,slash and burn agriculture
地下灌溉,subirrigation
等压线,isobar
等级分化,caste differentiation
地下水位,ground water table
地理信息系统,geographic information system
氮循环,nitrogen cycle
等盐线,isohaline
剂量-反应关系,dose-response relationship
地质年代学,geochronology
季节性节律,seasonal rhythm
活性酸度,active acidity
奠基者效应 建立者效应,founder effect
火烧顶极群落,fire climax community
空间分辨率 空间解析度,spatial resolution
己诱剂 海克诱剂,hexalure
火使用制度 火状况,fire regime
地质性演替,geological succession
季节迁徙,seasonal migration
地中海实蝇性诱剂,trimedlure
空间异质性,spatial heterogeneity
电导率,electric conductivity
奠基者事件,founder event
火成因子,fire-generated factor
克隆生长,clonal growth
记名样方,list quadrat
空间自相关,spatial auto-correlation
奠基者种群 建立者种群,founder population
空间生态位,spatial niche
寄居生物,inquiline
矿物质循环,"mineral cycle,mineral cycling"
繁殖群 同类群,deme
矿化作用,mineralization
多种种群,multi-species population
二级处理 生物处理,secondary treatment
过渡带,transitional zone
方差,variance
繁育系统 繁殖系统,breeding system
阔叶常绿灌木群落,laurifruticeta
泛域土,azonal soil
泛北极植物界,holarctic floral kingdom
矿质泥炭沼泽 碱沼,fen
多[元]顶极,polyclimax
二重寄生,diploparasitism
发育单位,developmental unit
反向河口,negative estuary
光污染,light pollution
光强度,light intensity
海底沉积物,submarine sediment
光合水分利用效率,photosynthetic water use efficiency
海平面变化,eustatic movement
冠盖度 林冠盖度,canopy cover
光周期,photoperiod
海底热泉,hydrothermal vent
海面微表层,sea-surface microlayer
婚羽,nuptial plumage
根系,root system
构造湿地系统,constructed wetland system
环境质量,environmental quality
混植,mixed planting
共生,symbiosis
功能反应,functional response
环境退化,environmental degradation
环境因子,environmental factor
功能食物网,functional food web
功能分化,ergonomy
攻击[性]拟态,aggressive  mimicry
环流圈,circulation cell
黄土,loess
环境梯度,environmental gradient
回声定位,echolocation
古顶极 原始顶极,eoclimax
混交林,mixed forest
功能生态位,functional niche
动物地理区,zoogeographical region
层片,synusia
东洋区,Oriental region
产业生态系统,industrial ecosystem
颤抖性产热,shivering thermogenesis
产量图,yield diagram
动态群落,dynamic community
产卵前期,preoviposition period
产卵力,fecundity
重寄生,epiparasitism
产业代谢评估,industrial metabolism assessment
顶极适应数,climax adaptation number
产热临界温度,critical temperature for heat production
赤潮 红潮,red tide
冬卵,winter egg
动态生态学,dynamic ecology
核心分布 蔓延分布,contagious distribution
禾草稀树草原,grass savanna
河流群落,potamium
寒流,cold current
动物体内散布,endozoochore
河流连续体概念,river continuum concept
锻炼,hardening
禾草冻原,grass tundra
寡循环湖,oligomictic lake
对抗竞争,contest-type competition
对抗行为,agonistic behavior
动物小区系,faunula
河底生物带,hyporheic zone
河流浮游生物,potamoplankton
华莱士线,Wallace line
黑潮,Kuroshio
红外光,infrared light
恒定性,constancy
后顶极,post climax
红土,lateritic soil
化石群落,oryctocoenosis
化学修复,chemical remediation
后冰期,post-glacial period
湖相沉积 湖泊沉积,lacustrine deposit
化学不育剂,chemosterilant
湖水浮游生物,eueimnoplankton
化能合成,chemosynthesis
环境保护,environmental conservation
湖上层,epilimnile
恒有度,constance
痕迹性状,rudimentary character
呼吸损失,respiration loss
红外线,infrared
广温性生物,eurythermal organism
光动性,photokinesis
光周期诱导,photoperiodic induction
光抑制,photoinhibition
哈迪-温伯格原则,Hardy-Weinberg' principle
光[合]系统,photosynthetic system
海洋细菌,marine bacteria
广盐性,euryhaline
哈迪-温伯格平衡模型,Hardy-Weinberg' equilibrium model
害虫压力假说,pest pressure hypothesis
廊道,corridor
海洋学,oceanology
海洋洄游,oceanodromous migration
灌木荒漠,shrub desert
