中文,英文
潜在缺乏,hidden hunger
叶片分析诊断法,diagnosis method of leaf analysis
苦陷症,bitter pit
脐腐症,blossom-end rot
鞭尾症,whiptail
显微结构诊断法,diagnosis of microstructure
测土施肥,soil testing and fertilizer recommendation
营养诊断施肥,diagnosis nutrient and fertilization
边际代替率,marginal rate of substitution
保护地盐害,salt concentration obstacle on protected land
被动吸收[养分],passive uptake [nutrient]
阶段营养期,different nutritional stage
奢侈吸收,luxury absorption
道南平衡,Donnan equilibrium
共质体运输,symplast transport
韧皮部运输,phloem transport
养分效率,nutrient efficiency
营养水平,nutritional level
电化学势梯度,gradient of electrochemical potential
植物养分比例,plant nutrients ratio
完全区组设计,complete block design
耗竭试验,exhaustive cropping technique
无机磷,inorganic phosphorus
酸解氮,acid-hydrolyzable nitrogen
腺苷三磷酸酶,ATPase
根外营养,exoroot nutrition
灰分元素,ash element
固体肥料,solid fertilizer
根圈营养,rhizosphere nutrition
铵态氮,ammonium nitrogen
缺素培养液,culture solution of element deficient
活性磷,labile phosphorus
缓效钾,slowly available potassium
集中施肥,concentrated fertilization
有机营养学说,theory of organic nutrition
离子协合作用,ion synergism
稀释效应,dilution effect
植物体内养分运输,nutrients transport in plant
微量元素养分,micronutrient
微量元素,microelement
有机氮,organic nitrogen
养分解吸,nutrient desorption
无机氮,inorganic nitrogen
放射性同位素示踪技术,radio isotope tracer technique
水溶性磷肥,water-soluble phosphatic fertilizer
植物生长调节剂,plant growth regulator
人粪尿,night soil
饼肥,cake fertilizer
厩肥,stable manure
灰斑症,grey speck
簇叶症,rosette
白芽症,white bud
推荐施肥,fertilization recommendation
肥料效应,fertilizer response
肥料效应函数,fertilizer response function
种肥,seed fertilizer
矿质营养学说,theory of mineral nutrition
植物营养[学],plant nutrition
接触交换,contact exchange
维茨效应,Viet's effect
必需元素,essential element
源-汇关系,source-sink relationship
长距离运输,long distance transport
中量元素养分,middle element nutrient
木质部运输,xylem transport
营养条件,nutritional condition
养分耗竭,nutrient depletion
养分再利用,nutrient reutilization
养分浓度梯度,nutrient concentration gradient
营养物质,nutritive material
活性养分,active nutrient
肥料试验,fertilizer experiment
中性肥料,neutral fertilizer
肥料三要素,three essentials of fertilizer
生理酸性肥料,physiological acidic fertilizer
生理中性肥料,physiological neutral fertilizer
水溶性养分,water soluble nutrient
肥料配合式,fertilizer formula
沼气肥,biogas manure
水生绿肥,hydrophytic green manure
植株化学诊断法,diagnosis method of plant chemistry
牧草痉挛症,grass tetany
生物培养诊断法,diagnosis method of biological incubation
失绿症,chlorosis
元素毒害,element toxicity
保护地气体毒害,gas toxicity of protected land
施肥制度,fertilization system
根外施肥,exoroot fertilization
稳定性同位素示踪技术,stable isotope tracer technique
养分有效性,nutrient availability
营养根,nutritive root
养分损失,nutrient loss
最优设计,optimum design
统计检验,statistical test
边际利润,marginal profit
回归设计,regression design
正交设计,orthogonal design
回归正交设计,regression-orthogonal design
分根培养,split root culture
流动培养,continuous flow culture
不完全区组设计,incomplete block design
耐量试验,tolerance test
拉丁方设计,Latin square design
肥料试验设计,fertilizer experimental design
裂区设计,split plot design
混杂设计,confounded design
多因子试验,multifactor experiment
水培,water culture
长期定位试验,long term experiment
探索播种,exploration seeding
无土栽培,soilless culture
匀地播种,sowing of evenland
矿物态钾,mineral potassium
层间钾,interlayer potassium
易还原态锰,labile reduction manganese
亚硝态氮,nitrite nitrogen
有机磷,organic phosphorus
碱解氮,alkali-hydrolyzable nitrogen
标明量,declarable content
肥料养分溶解度,solubility of fertilizer nutrient
肥料利用率,utilization rate of fertilizer
无机肥料,inorganic fertilizer
肥料添加剂,fertilizer additive
液体肥料,liquid fertilizer
铵态氮肥,ammonium nitrogen fertilizer
有机缓释氮肥,organic slowrelease nitrogen fertilizer
氨态氮肥,ammonia nitrogen fertilizer
脲酶抑制剂,urease inhibitor
硝铵态氮肥,ammonium and nitrate nitrogen fertilizer
掺合肥料,blended fertilizer
畜粪尿,domestic animals manure
枸溶性磷肥,citrate acid soluble phosphatic fertilizer
微量元素肥料,micronutrient fertilizer
钾肥,potassic fertilizer
复混肥料,complex fertilizer
废弃物肥料,sludge and refuse
泥炭,peat
形态诊断法,morphological diagnosis
焦灼症,burnt symptom
植物缺素症,hunger sign in plant
灰白症,white-grey symptom
腐心症,heart rot
小叶症,little-leaf symptom
边际效应,marginal effect
边际产量[统计],marginal yield
施肥,fertilization
追肥,top dressing
经济施肥,economic fertilization
分层施肥,separated layer fertilization
施肥技术,technique of fertilization
最高产量施肥量,maximum yield application rate
经济最佳施肥量,economic optimum application rate
归还学说,theory of returns
根氧化力,oxidizing force of root
植物有机营养,organic nutrition of plant
报酬递减律,law of diminishing returns
植物矿质营养,mineral nutrition of plant
载体学说,carrier theory
阴离子吸收学说,theory of anion absorption
自由空间,free space
主动吸收[养分],active uptake [nutrient]
质流[养分],mass flow [nutrition]
扩散[养分],diffusion [nutrition]
离子泵,ion pump
大量元素养分,macronutrient
营养液,nutrient solution
氮同化作用,nitrogen assimilation
植物铁载体,phytosiderophore
钙调素,calmodulin
全磷,total phosphorus
交换性养分,exchangeable nutrient
全钾,total potassium
数量因素,quantity factor
难溶性养分,difficultly soluble nutrient
养分吸附,nutrient adsorption
碳氮比,C/N ratio
枸溶性磷,citric acid soluble phosphorus
营养缺乏,nutrition deficiency
硅肥,siliceous fertilizer
农用食盐,sodium chloride
退耕上限坡度,upper limit slope for cultivation
顺坡,up and down slope
陡坡,steep slope
顺坡耕种,up and down slope cultivation
堆积,accumulation
土壤侵蚀综合治理,comprehensive control of soil erosion
泥沙,sediment
水土流失,soil and water loss
水土保持专家系统,expert system of soil and water conservation
水平梯田,bench terrace
石谷坊,stone check dam
坡式梯田,slope terrace
沟道防护林,forest for gully protection
水土保持耕作措施,tillage measures of soil and water conservation
等高带状间作,contour strip intercropping
灌溉侵蚀,irrigation erosion
隐匿侵蚀,concealed erosion
风蚀类型,wind erosion type
洞穴侵蚀,cave erosion
片蚀,sheet erosion
纹沟,ripple
干沟,main stream gully
细沟,rill
土壤侵蚀分类,soil erosion classification
地面割裂度,surface dissected degree
侵蚀垂直分布,vertical distribution of erosion
侵蚀基准面,erosion basis
雨滴,raindrop
模拟降雨装置,rainfall simulator
径流动能,runoff kinetic energy
支沟,branch gully
入渗曲线,infiltration curve
降雨侵蚀力,rainfall erosivity
水土保持生态效益,ecological benefit of soil and water conservation
洪水侵蚀,flood erosion
漫岗,rolling hill
冲沟,valley
坡度,slope gradient
冲蚀,scouring erosion
潜在侵蚀,potential erosion
雨滴侵蚀,raindrop erosion
重力侵蚀,gravitational erosion
风蚀等级,wind erosion class
崩岗,collapsing hill
风蚀预报方程,wind erosion prediction equation
冰川侵蚀,glacier erosion
切沟,gully
土壤侵蚀分区图,soil erosion division map
土壤侵蚀分布,soil erosion distribution
侵蚀水平分布,horizontal distribution of erosion
土壤侵蚀危害,soil erosion damage
土壤侵蚀调查,soil erosion survey
土壤侵蚀监测,soil erosion monitoring
土壤可蚀性参数,soil erodibility parameter
土壤抗冲性,soil antiscouribility
雨滴动能,raindrop kinetic energy
超渗径流,exceed-infiltration runoff
固体径流,solid runoff
化学径流,chemical runoff
隔坡梯田,alternation of slope and terrace
防风固沙林,wind break and sand fixation forest
鱼鳞坑,fish scale pit
融雪侵蚀,snowmelt erosion
黄土丘陵,loess hill
沙垅,sand ridge
沙丘,sand dune
沙漠,desert
磨蚀,wind abrasion
戈壁,gobi
风蚀灾害,wind erosion hazard
泻溜,earth-debris flow
冻融侵蚀,freeze-thawing erosion
剥蚀,denudation
土壤侵蚀类型,soil erosion type
线状侵蚀,linear erosion
溯源侵蚀,headward erosion
下切侵蚀,down-cutting erosion
侧向侵蚀,lateral erosion
浅沟侵蚀,shallow gully erosion
土壤侵蚀方式,soil erosion pattern
水力,water agency
跌水侵蚀,waterfall erosion
沟道密度,gully density
侵蚀区域分布,regional distribution of erosion
土壤侵蚀强度图,soil erosion intensity map
土壤侵蚀灾害,soil erosion hazard
土壤侵蚀过程,soil erosion process
通用土壤流失方程,universal soil loss equation
土壤侵蚀规律,soil erosion regular
土壤侵蚀效应,soil erosion effect
土壤侵蚀污染,soil erosion pollution
侵蚀力学,erosion mechanics
侵蚀土壤,eroded soil
土壤流失,soil loss
土壤流失量,soil loss amount
雨滴击溅角度,raindrop splash angle
雨滴大小,raindrop size
降雨侵蚀力参数,rainfall erosivity parameter
径流,runoff
降雨截流,rainfall interception
侵蚀临界坡度,critical erosion slope
入渗量,infiltration capacity
水土保持区划,soil and water conservation regionalization
城市水土流失,urban soil and water loss
输沙量,sediment discharge
防风林,wind break forest
旱井,dry well
水土保持生物措施,biological measures for soil and water conservation
草田轮作,grass and cropping rotation
坡长,slope length
横坡,transversal slope
横坡耕作,transversal slope cultivation
泥沙输移比,sediment delivery ratio
淤地坝,warp land dam
生物地埂,vegetation covered ridge
谷坊,check dam
柳谷坊,willow check dam
引洪淤地,flood warping land
反坡梯田,reversed terrace
水源涵养林,forest for conservation of water supply
水平阶,level bench
水平台地,level-reversed bench
古代侵蚀,ancient erosion
水蚀,erosion by water
黄土高原,loess plateau
暴雨侵蚀,rainstorm erosion
黄土地貌,loess landform
泥石流,mud and rock flow
泥流,mud flow
风蚀预报模型,wind erosion prediction model
崩塌,collapse
滑塌,slide
坡面侵蚀,slope erosion
细沟侵蚀,rill erosion
细沟间侵蚀,interrill erosion
跌穴,falling cave
鳞片状侵蚀,squamose erosion
浅沟,shallow gully
道路侵蚀,road erosion
土壤侵蚀营力,soil erosion agency
土壤侵蚀分类原则,principle of soil erosion classification
侵蚀劣地,erosion badland
土壤侵蚀内营力,endogenic agency of soil erosion
土壤侵蚀人工降雨模拟,artificial rainfall simulation of soil erosion
土壤侵蚀模数,soil erosion modulus
土壤侵蚀遥感制图,soil erosion mapping by remote sensing
土壤侵蚀预报模型,soil erosion prediction model
允许土壤流失量,soil loss tolerance
土壤蠕动,soil creep
土壤可蚀性诺漠图,soil erodibility value nomograph map
降雨侵蚀力指标,rainfall erosivity index
降雨量,rainfall amount
径流因子,runoff factor
雨滴大小分布,raindrop size distribution
盲沟,blind gully
城市水土保持,urban soil and water conservation
沟垄耕作,furrow and ridge tillage
沟谷侵蚀,gully and valley erosion
地表径流,surface runoff
壤中流,subsurface flow
侵蚀临界坡长,critical erosion slope length
缓坡,gentle slope
水土保持调查,soil and water conservation survey
风积,wind deposition
泥沙质量评价,sediment quality evaluation
含沙量,sediment concentration
水土保持工程措施,engineering measures of soil and water conservation
水土保持法,law of soil and water conservation
地埂,ridge
草田带状间作,grass strip intercropping
垄作区田,ridge tillage and pitting field
山边沟,hill-side ditch
草皮泄水道,grass waterway
等高耕作,contour tillage
等高草带,contour sod strip
风蚀强度,wind erosion intensity
土壤侵蚀程度,soil erosion degree
重力,gravitational agency
人工降雨,anthropogenic rainfall
临界径流,critical runoff
径流侵蚀力,runoff erosivity
水土保持社会效益,social benefit of soil and water conservation
水土保持规划,soil and water conservation planning
山坡防护林,forest for slope protection
水土保持经济林,economic forest for soil and water conservation
山塘,hilly pond
农田防护林,shelter forest for farmland
区田,pitting field
加速侵蚀,accelerated erosion
风蚀,erosion by wind
荒漠化,desertification
土壤侵蚀因子参数,soil erosion factor parameter
风力,wind agency
土壤侵蚀因素,soil erosion factor
水土保持措施,soil and water conservation measures
水土保持数据库,data base of soil and water conservation
水土保持法规,laws and regulations of soil and water conservation
小流域,small watershed
沙暴,sand storm
流沙,drift sand
风蚀残墩,soil residues by wind erosion
陷穴,sink hole
面蚀,surface erosion
水涮窝,washing hole
土壤侵蚀分类系统,classification system of soil erosion
土壤侵蚀强度,soil erosion intensity
土壤侵蚀数学模型,soil erosion mathematical model
土壤侵蚀预报方程,soil erosion prediction equation
土壤水蚀预报项目,water erosion prediction program
侵蚀土地,eroded land
侵蚀环境,erosion environment
侵蚀土壤剖面,erosion soil profile
土壤流失估算,soil loss estimation
土壤可蚀性指标,soil erodibility index
液体径流,liquid runoff
现代侵蚀,recent erosion
常态侵蚀,normal erosion
降雨侵蚀,rainfall erosion
人为侵蚀,erosion by human activities
流水侵蚀,runoff erosion
半固定沙丘,semifixed dune
固定沙丘,fixed dune
风障,wind break
溶蚀,corrosion
吹扬,wind drift
尘暴,dust storm
流动沙丘,moving dune
滑坡,slip
风蚀预报,wind erosion prediction
串珠洞穴,catenulate hole
悬沟,hanging gully
切沟侵蚀,gully erosion
土壤侵蚀指标,soil erosion index
羊道侵蚀,sheep-path erosion
土壤侵蚀外营力,exogenic agency of soil erosion
土壤侵蚀模拟,soil erosion simulation
土壤侵蚀田间模型,soil erosion field model
土壤侵蚀制图,mapping of soil erosion
土壤侵蚀类型图,soil erosion type map
土壤侵蚀潜在危险,soil erosion potential danger
土壤侵蚀遥感监测,soil erosion monitoring by remote sensing
土壤侵蚀信息系统,soil erosion information system
土壤可蚀性,soil erodibility
侵蚀地貌,erosion landform
侵蚀比率,erosion ratio
侵蚀速率,erosion rate
雨滴击溅量,raindrop splash amount
土壤抗蚀性,soil antierodibility
雨滴打击能量,raindrop impact energy
降雨强度,rainfall intensity
径流汇集,runoff gathering
降雨入渗,rainfall infiltration
淤积,siltation
蓄满径流,saturated infiltration runoff
水土保持经济效益,economic benefit of soil and water conservation
水土保持产业,soil and water conservation industry
水土保持工作条例,act of soil and water conservation
小流域综合治理,small watershed management
水土保持效益,soil and water conservation benefit
软埝,low earth bank
沟头防护工程,gully-head protecting works
复式梯田,compound terrace
田间工程,field engineering
石坎梯田,stone dike terrace
梯田,terrace
水土保持林业措施,forestry measures for soil and water conservation
水平沟,level trench
封山育林,forest reservation
沉积,sedimentation
产沙量,sediment yield
小流域经济,small watershed economy
土壤酸度,soil acidity
不谐溶,incongruent dissolution
土壤碱度,soil alkalinity
土壤水浸液酸,water-extractable acid of soil
酸性土[壤],acid soil
土壤盐浸液酸,salt-extractable acid of soil
土壤表面酸度,soil surface acidity
土壤腐殖质化学,soil humus chemistry
非晶物质,noncrystalline material
四面体片,tetrahedral sheet
黏粒矿物,clay-sized mineral
三八面体片,trioctahedral sheet
间层黏土矿物,interstratified clay mineral
三水铝石,gibbsite
水铁矿,ferrihydrite
伊利石,illite
形位效应,steric effect
楔形带,wedge zone
土粒电荷,soil particle charge
盐基饱和度,base saturation percentage
土壤盐置换性酸,salt-replaceable acid of soil
铝硅酸盐,aluminosilicate
表面电荷,surface charge
内圈络合物,innersphere complex
互补离子效应,effect of complementary ion
选择系数,selectivity coefficient
土壤残留碱度,soil residual alkalinity
土壤物理化学,soil physical chemistry
土壤养分化学,soil nutrient chemistry
扩散双电层,diffused double layer
交换性阴离子,exchangeable anion
实际阳离子交换量,effective cation exchange capacity
质子化作用,protonation
底面间距,basal spacing
高岭石,kaolinite
埃洛石,halloysite
蒙皂石,smectite
针铁矿,goethite
土壤矿质胶体,soil mineral colloid
断键,broken bond
有机矿质复合体,organo-mineral complex
硅氧烷表面,siloxane surface
硅烷醇基,silanol group
恒电荷表面,constant charge surface
层间交换位,interlayer exchange site
吸附态离子,adsorbed ion
交换性阳离子,exchangeable cation
结构电荷,structure charge
决定电位离子,potential determining ion
阴离子交换,anion exchange
阳离子交换量,cation exchange capacity
离子选择性,ion selectivity
交换性盐基,exchange base
盐基饱和度效应,effect of degree of base saturation
阴离子交换量,anion exchange capacity
阴离子吸附,anion adsorption
钠吸附比,sodium adsorption ratio
固定作用,fixation
选择吸附,selective adsorption
嵌插作用,intercalation
吸附作用,adsorption
土壤交换性酸度,soil exchangeable acidity
液接电位,liquid junction potential
土壤氧化还原体系,soil redox system
等电点,isoelectric point
铵固定,ammonium fixation
磷酸吸持,phosphate retention
土壤测定,soil test
表面电荷密度,surface charge density
氢铝质黏粒,H-Al clay
羟基铝间层,hydroxyl-aluminum interlayer
阴离子渗入,anion penetration
阴离子排斥,anion exclusion
非专性吸附,nonspecific adsorption
铁解作用,ferrolysis
负吸附,negative adsorption
外圈络合物,outersphere complex
土壤pH,soil pH
土壤缓冲性,soil buffering
土壤缓冲容量,soil buffer capacity
土壤碱化作用,alkalinization
土壤化学固定,soil chemical fixation
化学反硝化作用,chemical denitrification
电荷零点,zero point charge
土壤氧化还原状况,soil redox status
土壤含盐量,soil salt content
磷酸吸附,phosphate adsorption
吉布斯自由能,Gibbs free energy
土壤溶液,soil solution
土壤表面化学,soil surface chemistry
土壤电化学,soil electrochemistry
[土壤]次生矿物,soil secondary mineral
伊毛缟石,imogolite
绿脱石,nontronite
两性胶体,ampholytoid
赤铁矿,hematite
土壤胶体,soil colloid
黏土矿物,clay mineral
谐溶,congruent dissolution
配位体交换,ligand exchange
土壤溶液电导率,electrical conductivity of soil solution
土壤酸碱平衡,soil acid-base equilibrium
土壤缓冲物质,soil buffer compounds
中性土[壤],neutral soil
钾固定,potassium fixation
悬液效应,suspension effect
离子选择电极,ion selective electrode
氧化还原动力学,dynamics of oxidation-reduction
化学位,chemical potential
土壤浸提剂,soil extractant
土壤饱和浸出液,soil saturation extract
2∶1型矿物,2∶1 type mineral
层状硅酸盐,phyllosilicate
八面体片,octahedral sheet
同晶置换,isomorphous substitution
过渡矿物,intergradient mineral
交换性钠百分率,exchangeable sodium percentage
阴离子吸持,anion retention
钠交换比,exchangeable sodium ratio
专性吸附,specific adsorption
互补离子,complementary ion
土壤活性酸度,soil active acidity
土壤潜性酸度,soil potential acidity
碱性土[壤],alkaline soil
总酸度,total acidity
石灰性土,calcareous soil
土壤酸化作用,acidification
石灰需要量,lime requirement
土壤氧化还原电位,soil redox potential
磷酸固定,phosphate fixation
石灰位,lime potential
热力学土壤体系,thermodynamic soil system
土壤浸出液,soil extract
土壤矿物化学,soil mineral chemistry
土壤溶液化学,soil solution chemistry
1∶1型矿物,1∶1 type mineral
二八面体片,dioctahedral sheet
单元晶层,unit layer
结晶矿物,crystalline mineral
水铝英石,allophane
铁醇基,ferrol group
蛭石,vermiculite
绿泥石,chlorite
蒙脱石,montmorillonite
贝得石,beidellite
土壤碱胶体,soil basoid
叠胶,tactoid
游离氧化铁,free iron oxide
脱钾作用,depotassication
土壤酸胶体,soil acidoid
钙质黏粒,calcium clay
固有电荷,intrinsic charge
阳离子交换,cation exchange
永久电荷,permanent charge
土壤盐渍度,soil salinity
离子交换动力学,dynamics of ion exchange
土壤可溶盐,soil soluble salt
可变电荷,variable charge
土壤有机胶体,soil organic colloid
矿物风化序列,weathering sequence of mineral
恒电位表面,constant potential surface
表面络合物,surface complex
优先吸附,preference adsorption
反荷离子,counter ion
土壤残留酸度,soil residual acidity
土壤反应,soil reaction
土壤水解性酸度,soil hydrolytic acidity
土壤钠质化作用,sodication
铝聚合作用,aluminum polymerization
临界电位,critical potential
铝毒,aluminum toxicity
氧化还原耦,redox couple
动电电位,electrokinetic potential
养分位,nutrient potential
化学风化动力学,dynamics of chemical weathering
磷位,phosphate potential
土壤污染化学,soil pollution chemistry
土壤矿物,soil mineral
[土壤]原生矿物,soil primary mineral
土壤胶体化学,soil colloid chemistry
水云母,hydromica
钠质黏粒,sodium clay
层间表面,interlayer surface
羟基化作用,hydroxylation
铝醇基,aluminol group
层电荷,layer charge
单位化学式电荷,charge per formula unit
阳离子交换位,cation exchange site
质子电荷,proton charge
交换性阳离子百分率,exchangeable cation percentage
钾位,potassium potential
羟基表面,hydroxyl surface
解吸作用,desorption
沼泽土,bog soil
寒冻土,alpine frost soil
草甸土,meadow soil
砂姜黑土,Shajiang black soil
菜园土,vegetable garden soil
美国土壤系统分类,Soil Taxonomy
灌淤土,irrigation-silting soil
膨转土,Vertisol
土壤类群,major soil grouping
铁铝土,Ferralsol
优势土壤组合,soil consociation
土壤区划图,soil regionalization map
杂集区,miscellaneous area
土壤和地表体数字化数据库,SOTER
土壤水平分布,soil horizontal distribution
土壤资源评价,soil resources assessment
黏粒淋失斑,clay depletions
土链,soil catena
土被,soil cover
浓聚物,concentrations
离析物,separations
凝团,nodule
细粒物质,plasma
土壤形成物,pedological features
悬膜,pendant
胶膜,cutan
土壤管状物,pedotubule
晶膜,crystal coating
环状物,ring
晶管,crystal tube
组合胶膜,compound cutan
晶囊,crystal chamber
淀积黏粒胶膜,illuviation argillan
黏粒桥,clay bridge
孔道,channel
风化残余物,weathering residue
土壤发育序列,soil development sequence
淋溶作用,eluviation
淋洗作用,leaching
裸露埋藏土,exhumed soil
土壤地球化学,soil geochemistry
土壤年龄,soil age
土壤绝对年龄,absolute age of soil
土壤形成过程,soil-forming process
[表观]平均停留时间,[apparent] mean residence time
复钙作用,recalcification
盐化[作用],salinization
次生黏化[作用],secondary clayification
红化[作用],rubification
发生层命名,horizon designation
风积物,aeolian deposit
残积物,residual deposit
冰川沉积物,glacial deposit
草毡层,sod layer
诊断表层,diagnostic surface horizon
有机表层,histic epipedon
灌淤表层,siltigic epipedon
石膏层,gypsic horizon
灰化淀积层,spodic horizon
氧化层,oxic horizon
薄铁磐层,placic horizon
铁磐,orstein
石化铁质接触面,petroferic contact
石化钙积层,petrocalcic horizon
诊断特性,diagnostic characteristics
半干润水分状况,ustic moisture regime
潮湿水分状况,aquic moisture regime
聚铁网纹层,plinthic horizon
干热水分状况,torric moisture regime
湿润水分状况,udic moisture regime
n值,n value
有机土壤物质,organic soil material
温性温度状况,mesic temperature regime
永冻层次,permafrost layer
锈纹,rust streak
铁锰结核,iron-manganese concretions
石膏晶簇,gypsum crystal cluster
土族,soil family
土系,soil series
砖红壤,latosol
赤红壤,latosolic red soil
红壤,red soil
崩积土,colluvial soil
自成土,automorphic soil
冲积土,Fluvisol
棕色针叶林土,brown coniferous forest soil
白浆土,Baijiang soil
燥红土,dry red soil
紫色土,purple soil
黄壤,yellow soil
棕红壤,brown-red soil
棕色石灰土,terra fusca
黑色石灰土,rendzina
山地草甸土,mountain meadow soil
高山草原土,alpine steppe soil
灰漠土,grey desert soil
土样,soil sample
风化作用,weathering
黄土,loess
土相,soil phase
微形态发生,micromorphogenesis
恒高热温度状况,isohyperthermic temperature regime
土壤图斑,delineation of soil
始成土,Inceptisol
孔囊,chamber
堆集性孔隙,packing void
风化壳,weathering crust
山地土壤,mountain soil
化学风化,chemical weathering
风化产物,weathering product
自吞作用,self-swallowing
单个土体,pedon
发生层分化,horizon differentiation
坡积物,slope deposit
黏化层,argic horizon
高岭层,kandic horizon
锈斑,rust spot
涂污结持性,smeary consistence
土壤形态[学],soil morphology
土壤连续命名法,continuous soil nomenclature
土属,soil genus
土纲,soil order
灰化土,podzolic soil
黄棕壤,yellow-brown soil
红色石灰土,terra rossa
暗棕壤,dark brown forest soil
结核,concretion
潮土,fluvo-aquic soil
基质颗粒,matrix grain
脱碱作用,solodization
铁质化[作用],ferruginization
棕化[作用],brownification
潜育层,gley horizon
表土层,surface soil layer
堆垫表层,cumulic epipedon
水耕表层,anthrostagnic epipedon
淡薄表层,ochric epipedon
舌状层,glossic horizon
致密物质,densic material
干旱水分状况,aridic moisture regime
潜育特征,gleyic features
土壤高级分类,higher categories of soil classification
钙磐,calcareous pan
盐结皮,thin salt crust
土壤分类,soil classification
地理发生分类,geographico-genetic classification
隐域土,intrazonal soil
水成土,hydromorphic soil
灰棕漠土,grey-brown desert soil
栗钙土,chestnut soil
棕钙土,brown calcic soil
雏形层,cambic horizon
表土,surface soil
荒漠漆皮,desert varnish
淀积黏化层,argillic horizon
诊断表下层,diagnostic subsurface horizon
人为表层,anthropic epipedon
钠质层,natric horizon
聚铁网纹体,plinthite
